"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1993-01-01",,,,,,,,7.2235,
"1993-02-01",,,,,,,,7.1308,
"1993-03-01",,,,,,,,6.858,
"1993-04-01",,,,,,,,6.9251,
"1993-05-01",,,,,,,,7.0583,
"1993-06-01",,,,,,,,6.9902,
"1993-07-01",,,,,,,,6.75,
"1993-08-01",,,,,,,,6.6043,
"1993-09-01",,,,,,,,6.435,
"1993-10-01",,,,,,,,6.2644,
"1993-11-01",,,,,,,,6.1763,
"1993-12-01",,,,,,,,6.036,
"1994-01-01",,,,,,,,5.8139,107.723945625654
"1994-02-01",,,,,,,,6.0563,107.180202161032
"1994-03-01",,,,,,,,6.4525,108.152666434298
"1994-04-01",,,,,,,,6.6674,107.368421052632
"1994-05-01",,,,,,,,6.9697,108.048100383409
"1994-06-01",,,,,,,,7.4108,108.257232485186
"1994-07-01",,,,,,,,7.119,110.149878006274
"1994-08-01",,,,,,,,7.2047,110.808644126873
"1994-09-01",,,,,,,,7.568,109.658417567097
"1994-10-01",,,,,,,,7.689,109.783896828163
"1994-11-01",,,,,,,,7.7239,109.15650052283
"1994-12-01",,,,,,,,7.6304,108.706866504008
"1995-01-01",,,,4,,,,7.7215,109.919832694319
"1995-02-01",,,,3.9,,,,7.6484,110.421749738585
"1995-03-01",,,,3.9,,,,7.5122,113.213663297316
"1995-04-01",,,,4,,,,7.3671,113.297316138027
"1995-05-01",,,,4.1,,,,7.1317,112.073893342628
"1995-06-01",,,,4.2,,,,7.0533,112.05298013245
"1995-07-01",,,,4.3,,,,7.111,112.701289647961
"1995-08-01",,,,4.4,,,,7.0031,111.990240501917
"1995-09-01",,,,4.4,,,,6.8798,110.474032764029
"1995-10-01",,,,4.5,,,,6.9635,111.331474381318
"1995-11-01",,,,4.6,,,,6.7628,110.693621470896
"1995-12-01",,,,4.6,,,,6.4665,110.087138375741
"1996-01-01",14883.0565982159,73.7021810352082,71.34,4.7,,,,6.2054,109.804810038341
"1996-02-01",14956.0862157682,73.7918736395143,71.55,4.8,,,,6.4352,109.459742070408
"1996-03-01",15032.3571860159,73.9475515065197,71.77,4.8,,,,6.5493,109.240153363541
"1996-04-01",15015.2179448033,73.9040280720373,71.69,4.8,,,,6.4323,108.204949459742
"1996-05-01",15082.7279623646,73.8181269291124,71.62,4.8,,,,6.4511,107.462530498432
"1996-06-01",15172.354092832,74.0147992789812,71.84,4.8,,,,6.6334,107.786685256187
"1996-07-01",15214.0495565617,74.080493598136,71.91,4.7,,,,6.5807,108.13175322412
"1996-08-01",15131.4703543464,73.9058991440567,71.69,4.7,,,,6.413,108.497734402231
"1996-09-01",15227.2800890919,73.8452491671739,71.69,4.7,,,,6.2967,107.723945625654
"1996-10-01",15114.0437511163,74.0455508445502,71.84,4.6,,,,6.0578,107.525270128965
"1996-11-01",15227.751566696,74.1507508796268,72.05,4.6,,,,5.9453,107.713489020565
"1996-12-01",15352.8046821878,74.2326708881985,72.27,4.6,,,,5.8574,106.971070059254
"1997-01-01",15431.5806694256,74.0146243016642,72.2,4.6,,,,5.8388,105.632624607877
