"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1986-04-01",,,,10.1,,,,,
"1986-05-01",,,,10.1,,,,,
"1986-06-01",,,,10.1,,,,,
"1986-07-01",,,,10,,,,,
"1986-08-01",,,,9.9,,,,,
"1986-09-01",,,,9.9,,,,,
"1986-10-01",,,,10,,,,,
"1986-11-01",,,,10.1,,,,,
"1986-12-01",,,,10.1,,,,,
"1987-01-01",,,,10.1,,,,,
"1987-02-01",,,,10,,,,,
"1987-03-01",,,,10,,,,,
"1987-04-01",,,,10,,,,,
"1987-05-01",,,,9.9,,,,,
"1987-06-01",,,,9.9,,,,,
"1987-07-01",,,,9.8,,,,,
"1987-08-01",,,,9.7,,,,,
"1987-09-01",,,,9.6,,,,,
"1987-10-01",,,,9.6,,,,,
"1987-11-01",,,,9.6,,,,,
"1987-12-01",,,,9.5,,,,,
"1988-01-01",,,,9.5,,,,,
"1988-02-01",,,,9.4,,,,,
"1988-03-01",,,,9.3,,,,,
"1988-04-01",,,,9.2,,,,,
"1988-05-01",,,,9.1,,,,,
"1988-06-01",,,,8.9,,,,,
"1988-07-01",,,,8.8,,,,,
"1988-08-01",,,,8.7,,,,,
"1988-09-01",,,,8.5,,,,,
"1988-10-01",,,,8.3,,,,,
"1988-11-01",,,,8.2,,,,,
"1988-12-01",,,,8.1,,,,,
"1989-01-01",,,,7.9,,,,,
"1989-02-01",,,,7.8,,,,,
"1989-03-01",,,,7.7,,,,,
"1989-04-01",,,,7.6,,,,,
"1989-05-01",,,,7.5,,,,,
"1989-06-01",,,,7.4,,,,8.35,
"1989-07-01",,,,7.3,,,,8.39,
"1989-08-01",,,,7.2,,,,8.36,
"1989-09-01",,,,7.1,,,,8.43,
"1989-10-01",,,,7,,,,8.68,
"1989-11-01",,,,7,,,,9.1,
"1989-12-01",,,,6.9,,,,9.4,
"1990-01-01",,,,6.8,,,,9.8,
"1990-02-01",,,,6.7,,,,10.4,
"1990-03-01",,,,6.7,,,,10.26,
"1990-04-01",,,,6.6,,,,10,
"1990-05-01",,,,6.6,,,,9.82,
"1990-06-01",,,,6.6,,,,9.75,
"1990-07-01",,,,6.6,,,,9.56,
"1990-08-01",,,,6.5,,,,10.01,
