"date","pop","gdp_nom","gdp_defl","cpi","ur","narrow","broad","stir","ltir","xr_usd"
"1870-01-01",53.5987440622012,6.39501935039778e-09,,7.21493253780961e-12,,5.50087265855721e-10,1.62834218277545e-09,6.75,4.626933,1.85797282994943e-12
"1871-01-01",53.8522622860029,6.75648131101046e-09,4.51558849367409e-12,7.53992950052523e-12,,6.71877804421563e-10,1.92507321307038e-09,4.125,4.455575,1.8897654704141e-12
"1872-01-01",54.158323146862,7.32804682266137e-09,4.78889354806051e-12,7.99492529208904e-12,,9.51996043123001e-10,2.51444806938619e-09,4.125,4.285192,1.89126007884121e-12
"1873-01-01",54.5970541662908,7.93557861954832e-09,5.06133455548265e-12,8.44992099746698e-12,,1.0575478432134e-09,2.87003484122722e-09,4.625,4.324108,1.84602317174806e-12
"1874-01-01",55.1750231739217,8.16239980649519e-09,5.10095344158629e-12,8.51492036637688e-12,,1.0012197191267e-09,2.97221494807809e-09,3.5,4.2671833,1.91025037963422e-12
"1875-01-01",55.8501960601086,8.03595145620774e-09,4.82123103968547e-12,8.05992468283273e-12,,8.09907081462851e-10,2.83978952959936e-09,4.75,4.248025,1.87175301534387e-12
"1876-01-01",56.5608352263092,8.21731516449707e-09,4.86877096099169e-12,8.12492406164611e-12,,7.45459588138426e-10,2.87739180892048e-09,3.75,4.253242,1.92656294258703e-12
"1877-01-01",57.2846100517742,8.15956918431607e-09,4.79246973143442e-12,7.99492529208904e-12,,7.25668625621477e-10,2.80544307014344e-09,4,4.234717,2.05870806767459e-12
"1878-01-01",57.9663507675933,8.23899484174969e-09,4.636208790926e-12,7.73492766175312e-12,,7.16534335229039e-10,2.86400599705499e-09,4.5,4.274867,2.13541233133759e-12
"1879-01-01",58.6388965219274,8.21671569383607e-09,4.52003127688843e-12,7.53992950052516e-12,,8.31727886289231e-10,2.98503604600551e-09,3.5,4.180083,2.15212876374736e-12
"1880-01-01",59.2352554525283,8.36134714668672e-09,4.71771204261382e-12,7.86492650508753e-12,,8.41877097836385e-10,3.0798522133861e-09,3.375,4.05,2.15599106261792e-12
"1881-01-01",59.6700457741778,8.52829095692417e-09,4.63956550970816e-12,7.73492766175312e-12,,9.43876673885278e-10,3.34589522421283e-09,4.125,3.96,2.16257599075584e-12
"1882-01-01",60.05229345877,8.7318339384988e-09,4.67874220704935e-12,7.79992705643863e-12,,9.09876815202313e-10,3.4602323672306e-09,3.875,3.94,2.14869952910018e-12
