"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1990-01-01",,,,,,,,7.63,
"1990-02-01",,,,,,,,8.43,
"1990-03-01",,,,,,,,8.67,
"1990-04-01",,,,,,,,8.7,
"1990-05-01",,,,,,,,8.74,
"1990-06-01",,,,,,,,8.82,
"1990-07-01",,,,,,,,8.58,
"1990-08-01",,,,,,,,8.9,
"1990-09-01",,,,,,,,9.09,
"1990-10-01",,,,,,,,9.09,
"1990-11-01",,,,,,,,8.95,
"1990-12-01",,,,,,,,8.85,
"1991-01-01",,,,5.2,,,,8.94,
"1991-02-01",,,,5.2,,,,8.42,
"1991-03-01",,,,5.3,,,,8.41,
"1991-04-01",,,,5.3,,,,8.39,
"1991-05-01",,,,5.3,,,,8.39,
"1991-06-01",,,,5.4,,,,8.39,
"1991-07-01",,,,5.5,,,,8.61,
"1991-08-01",,,,5.6,,,,8.56,
"1991-09-01",,,,5.7,,,,8.45,
"1991-10-01",,,,5.8,,,,8.36,
"1991-11-01",,,,5.9,,,,8.34,
"1991-12-01",,,,6,,,,8.24,
"1992-01-01",,,,6,,,,7.98,
"1992-02-01",,,,6.1,,,,7.92,
"1992-03-01",,,,6.2,,,,8,
"1992-04-01",,,,6.3,,,,8.04,
"1992-05-01",,,,6.4,,,,8.08,
"1992-06-01",,,,6.5,,,,8.06,
"1992-07-01",,,,6.6,,,,8.12,
"1992-08-01",,,,6.8,,,,8.08,
"1992-09-01",,,,6.9,,,,7.71,
"1992-10-01",,,,7,,,,7.47,
"1992-11-01",,,,7.1,,,,7.38,
"1992-12-01",,,,7.2,,,,7.33,
"1993-01-01",,,,7.3,,,,7.15,
"1993-02-01",,,,7.4,,,,6.94,
"1993-03-01",,,,7.5,,,,6.66,
"1993-04-01",,,,7.5,,,,6.68,
"1993-05-01",,,,7.6,,,,6.83,
"1993-06-01",,,,7.7,,,,6.81,
"1993-07-01",,,,7.8,,,,6.62,
"1993-08-01",,,,7.9,,,,6.41,
"1993-09-01",,,,8,,,,6.2,
"1993-10-01",,,,8.1,,,,6,
"1993-11-01",,,,8.2,,,,5.98,
"1993-12-01",,,,8.3,,,,5.85,
"1994-01-01",,,,8.4,,,,5.8,121.468574984443
"1994-02-01",,,,8.5,,,,6.07,121.634515660651
"1994-03-01",,,,8.5,,,,6.34,123.262808545945
"1994-04-01",,,,8.6,,,,6.48,122.682016179216
"1994-05-01",,,,8.5,,,,6.66,123.615432482887
"1994-06-01",,,,8.5,,,,7.05,124.27919518772
"1994-07-01",,,,8.5,,,,6.9,125.917859365277
"1994-08-01",,,,8.4,,,,7.09,126.23936942543
"1994-09-01",,,,8.4,,,,7.52,125.212611491392
"1994-10-01",,,,8.3,,,,7.54,125.461522505704
"1994-11-01",,,,8.3,,,,7.49,124.911844015764
"1994-12-01",,,,8.2,,,,7.46,124.579962663348
"1995-01-01",,,,8.2,,,,7.6,126.011200995644
"1995-02-01",,,,8.1,,,,7.42,127.598008711885
"1995-03-01",,,,8.1,,,,7.28,131.891723708774
"1995-04-01",,,,8.1,,,,7.09,131.611698817673
"1995-05-01",,,,8.1,,,,6.86,129.444098734702
"1995-06-01",,,,8.1,,,,6.78,129.143331259075
"1995-07-01",,,,8.2,,,,6.86,129.84857913296
"1995-08-01",,,,8.3,,,,6.74,127.369840282099
"1995-09-01",,,,8.3,,,,6.59,126.612735946899
"1995-10-01",,,,8.4,,,,6.57,128.209914955403
"1995-11-01",,,,8.4,,,,6.34,127.795063264883
"1995-12-01",,,,8.5,,,,6.07,127.162414436839
"1996-01-01",157953.092145492,80.7858289895345,75.1062588549046,8.5,,,,5.89,126.011200995644
"1996-02-01",158500.376604429,81.2276995211172,75.6063005250438,8.6,,,,6.2,126.228998133167
"1996-03-01",159134.531250078,81.2042326603118,75.7063088590716,8.6,,,,6.44,124.974071769342
"1996-04-01",159456.445775605,80.9711051385422,75.6063005250438,8.7,,,,6.38,123.107239162
"1996-05-01",160840.389649536,80.8621430876333,75.7063088590716,8.8,,,,6.45,121.852312798175
"1996-06-01",160933.164574859,80.8880051996724,75.8063171930994,8.8,,,,6.56,122.246421904169
"1996-07-01",160241.508454776,81.1047162960019,76.0063338611551,8.9,,,,6.48,123.304293714997
"1996-08-01",161351.749444603,80.9702166411625,75.9063255271273,9,,,,6.3,124.030284173408
"1996-09-01",162216.742100621,81.103476773355,75.9063255271273,9.1,,,,6.23,122.536818087534
"1996-10-01",162563.203885907,81.3167173848615,75.8063171930994,9.2,,,,6.01,121.209292677868
"1996-11-01",163368.721706483,81.15109407037,75.7063088590716,9.3,,,,5.86,121.230035262394
"1996-12-01",163187.07440761,81.1763543844178,76.0063338611551,9.4,,,,5.79,120.275876374196
"1997-01-01",161811.738579263,81.1903001708823,76.5063755312943,9.5,,,,5.8,119.49802945447
"1997-02-01",161716.87338266,81.1159754126994,76.8064005333778,9.5,,,,5.55,117.973449491807
"1997-03-01",162216.388038077,80.8114113111534,76.70639219935,9.6,,,,5.71,117.485998755445
"1997-04-01",162323.635679799,80.6769108721107,76.5063755312943,9.7,,,,5.87,116.397013067828
"1997-05-01",162913.169723365,81.0003446644881,76.8064005333778,9.7,,,,5.76,116.479983405932
"1997-06-01",165005.194596836,80.9576481835146,76.9064088674056,9.7,,,,5.72,115.37025513379
"1997-07-01",166113.893068777,81.1832780468032,77.2064338694891,9.7,,,,5.56,114.685749844431
"1997-08-01",164068.85150954,81.4378421117501,77.2064338694891,9.7,,,,5.66,114.001244555072
"1997-09-01",164498.255421683,81.3513155391421,77.0064172014335,9.7,429910.787014337,1119193.0177611,1163830.76350246,5.59,115.069487658162
"1997-10-01",165648.080235079,81.3861593873602,76.9064088674056,9.7,432060.602821352,1121824.94517514,1164945.14083903,5.58,115.733250362995
"1997-11-01",166240.165206636,81.4457102427344,76.9064088674056,9.7,436922.072799968,1124891.6948117,1168084.50784804,5.56,116.594067620826
"1997-12-01",167308.754558284,81.547519961051,77.1064255354613,9.7,445567.516625409,1136845.92543505,1180719.64479627,5.33,117.143746110765
"1998-01-01",167509.164950191,81.2806053751264,77.0064172014335,9.7,429254.641041374,1137564.41432553,1182246.94833426,5.11,117.040033188135
"1998-02-01",167659.750494948,81.4110260988321,77.2064338694891,9.7,434591.108463657,1141471.35507374,1190055.11654303,4.99,116.251814976146
"1998-03-01",168093.084554861,81.2770613214066,77.1064255354613,9.6,442324.451432454,1146684.80874724,1196083.37438826,4.9,115.23542833437
"1998-04-01",167611.420349512,81.5066006857102,77.2064338694891,9.6,446798.685173581,1154043.28129715,1202364.15637848,4.9,115.390997718316
"1998-05-01",168207.320228606,81.7868918006309,77.5064588715726,9.5,448706.768013469,1157184.59250301,1207132.75200992,4.96,116.936320265505
"1998-06-01",167424.259421881,81.7978491880102,77.5064588715726,9.4,454539.206683865,1161609.21602775,1212854.31064491,4.8,117.371914540552
"1998-07-01",169705.208146531,81.7989527161417,77.8064838736561,9.4,451536.271862569,1167900.33582393,1219938.07979637,4.68,117.807508815598
"1998-08-01",168573.750931262,81.8369208808719,77.7064755396283,9.3,467886.248374111,1184344.19478067,1234750.69295277,4.42,118.346816013275
"1998-09-01",167998.040922207,81.7942236953469,77.4064505375448,9.2,473857.0603619,1187153.98293577,1238801.18752618,4.06,119.788425637834
"1998-10-01",168954.288739532,81.9012990656744,77.2064338694891,9.1,485671.563067535,1198620.65232069,1250658.00129746,4.06,120.078821821199
"1998-11-01",169013.114010914,82.1637333522344,77.2064338694891,9.1,498033.788015134,1207161.06351669,1262233.33094884,4.12,118.616469612114
"1998-12-01",169931.597249554,82.2144765652287,77.2064338694891,9,512474.642184968,1238663.03071139,1295416.29302955,3.86,119.072806471686
"1999-01-01",171880.176287648,82.0406313535846,77.2064338694891,8.9,514268.720291058,1255987.69766341,1293182.65256473,3.7,118.429786351379
"1999-02-01",171010.748475743,82.1950060400136,77.306442203517,8.8,517669.712231432,1258318.47204218,1298325.07053786,3.85,117.413399709604
"1999-03-01",171576.075236608,82.3038177848744,77.5064588715726,8.8,520627.32688288,1262598.11345523,1305860.26646879,4.04,116.210329807094
"1999-04-01",171873.310870206,82.5161258746182,77.8064838736561,8.7,523635.853777804,1267402.23577526,1317174.23930749,3.85,115.515453225472
"1999-05-01",171683.668476836,82.4066540885378,77.8064838736561,8.6,538287.047966864,1280840.47421739,1338280.87272179,4.01,114.986517320058
"1999-06-01",171569.020652959,82.2453568380797,77.8064838736561,8.6,542338.406280101,1287151.99457989,1343702.64093371,4.36,113.92864550923
"1999-07-01",173228.456375868,82.3148131773912,78.2065172097675,8.5,546204.149677718,1294718.73947875,1349533.85888497,4.68,114.198299108069
"1999-08-01",174105.418953175,82.1472870429016,78.2065172097675,8.5,550105.346181398,1297653.09770889,1351377.60835045,4.88,114.758348890272
"1999-09-01",173278.124670957,82.0218576536535,78.0065005417118,8.4,556747.980219009,1301701.62578313,1361731.5240659,5.04,113.213026343082
"1999-10-01",173726.432577491,82.0145258362969,77.906492207684,8.4,558708.014198346,1307158.12408324,1368558.83728843,5.29,113.503422526447
"1999-11-01",173943.44074815,82.0891676982396,78.0065005417118,8.3,563362.688877636,1310316.69431163,1382036.90629635,5.04,112.124040655466
"1999-12-01",174963.12667436,82.1637991383993,78.3065255437953,8.2,560459.856972324,1308791.13554324,1381859.69329852,5.15,110.879485583904
"2000-01-01",175268.272351722,82.0460019969589,78.506542211851,8.2,570403.90328874,1312685.02574097,1384866.65005576,5.54,110.993569798797
"2000-02-01",177235.640571015,81.8247673826632,78.6065505458788,8.1,576505.323237399,1313087.96415151,1387645.62035306,5.51,109.572702758764
"2000-03-01",177054.087077262,81.7807885438887,78.6065505458788,8.1,577031.973762698,1310089.30408403,1386717.85388929,5.33,108.172578303257
"2000-04-01",177685.908396163,81.7973862825206,78.6065505458788,8,584169.965652875,1314338.58652761,1389248.91806049,5.22,107.156191661481
"2000-05-01",178538.777229373,81.5082586866665,78.4065338778232,8,575651.924473216,1304276.85418139,1381474.31758928,5.38,105.839037544078
"2000-06-01",176786.314374465,82.0529415602754,78.9065755479623,8,568319.235822753,1295812.14660426,1372358.17470599,5.19,107.851068243103
"2000-07-01",178555.887124059,82.0535713854595,79.2066005500458,7.9,573049.051982053,1297375.28928755,1373365.07200184,5.27,107.94440987347
"2000-08-01",177900.632202806,81.7543884159525,79.0065838819902,7.9,569956.390580352,1294627.56898013,1367903.83483648,5.21,105.901265297656
"2000-09-01",177621.480673135,81.8876045749173,79.2066005500458,7.9,566231.19114438,1292399.06812228,1362123.40369254,5.26,104.293714996889
"2000-10-01",176350.892280052,81.8242674041693,79.106592216018,7.8,570906.377250266,1289731.69249529,1360424.28802766,5.21,103.318813524165
"2000-11-01",176840.435932051,81.8383393578863,79.106592216018,7.8,570486.321237715,1290397.0372231,1360095.7182555,5.15,103.495125492636
"2000-12-01",180046.671787897,82.6909440157928,80.0066672222685,7.7,577531.546040404,1298632.05054695,1369663.42509947,4.89,106.336859572703
"2001-01-01",180865.845723159,82.3560045553212,79.5066255521293,7.7,570356.124517615,1296369.41239649,1369144.69233009,4.8,108.027380211574
"2001-02-01",183826.356663119,82.712097944953,80.0066672222685,7.7,581722.454249541,1308488.94337449,1383845.65430055,4.78,107.726612735947
"2001-03-01",182971.797613722,82.6170491489173,80.0066672222685,7.6,586262.021068954,1316595.92133226,1394430.41660844,4.67,107.498444306161
"2001-04-01",181732.290601162,82.6610861029698,80.306692224352,7.6,591263.029686893,1324486.26139644,1403248.65720464,4.83,106.959137108484
"2001-05-01",182798.828235334,82.7992543315942,80.7067255604634,7.7,595290.909904732,1326644.58819708,1408857.32578073,5.05,105.67309686787
"2001-06-01",182902.881163504,82.8356386583512,80.8067338944912,7.7,595035.720213646,1335581.21579362,1419732.01108678,5,104.739680564198
