"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1986-04-01",,,,20.6,,,,,
"1986-05-01",,,,20.5,,,,,
"1986-06-01",,,,20.4,,,,,
"1986-07-01",,,,20.4,,,,,
"1986-08-01",,,,20.3,,,,,
"1986-09-01",,,,20.3,,,,,
"1986-10-01",,,,20.2,,,,,
"1986-11-01",,,,20.3,,,,,
"1986-12-01",,,,20.2,,,,,
"1987-01-01",,,,20.2,,,,,
"1987-02-01",,,,20.1,,,,,
"1987-03-01",,,,19.9,,,,,
"1987-04-01",,,,19.8,,,,,
"1987-05-01",,,,19.7,,,,,
"1987-06-01",,,,19.6,,,,,
"1987-07-01",,,,19.7,,,,,
"1987-08-01",,,,19.7,,,,,
"1987-09-01",,,,19.7,,,,,
"1987-10-01",,,,19.5,,,,,
"1987-11-01",,,,19.4,,,,,
"1987-12-01",,,,19.4,,,,,
"1988-01-01",,,,19.3,,,,,
"1988-02-01",,,,19.2,,,,,
"1988-03-01",,,,19.1,,,,,
"1988-04-01",,,,19.1,,,,,
"1988-05-01",,,,19.1,,,,,
"1988-06-01",,,,19,,,,,
"1988-07-01",,,,18.9,,,,,
"1988-08-01",,,,18.7,,,,,
"1988-09-01",,,,18.4,,,,,
"1988-10-01",,,,18,,,,,
"1988-11-01",,,,17.7,,,,,
"1988-12-01",,,,17.6,,,,,
"1989-01-01",,,,17.5,,,,,
"1989-02-01",,,,17.3,,,,,
"1989-03-01",,,,17.1,,,,,
"1989-04-01",,,,16.9,,,,,
"1989-05-01",,,,16.7,,,,,
"1989-06-01",,,,16.4,,,,,
"1989-07-01",,,,16.2,,,,,
"1989-08-01",,,,16.2,,,,,
"1989-09-01",,,,16,,,,,
"1989-10-01",,,,16.1,,,,,
"1989-11-01",,,,16.1,,,,,
"1989-12-01",,,,16.1,,,,,
"1990-01-01",,,,15.9,,,,,
"1990-02-01",,,,15.8,,,,,
"1990-03-01",,,,15.6,,,,,
"1990-04-01",,,,15.6,,,,,
"1990-05-01",,,,15.6,,,,,
"1990-06-01",,,,15.5,,,,,
"1990-07-01",,,,15.3,,,,,
"1990-08-01",,,,15.3,,,,,
"1990-09-01",,,,15.3,,,,,
"1990-10-01",,,,15.3,,,,,
"1990-11-01",,,,15.3,,,,,
"1990-12-01",,,,15.3,,,,,
"1991-01-01",,,,15.1,,,,,
"1991-02-01",,,,15.1,,,,,
"1991-03-01",,,,15.1,,,,,
"1991-04-01",,,,15.2,,,,,
"1991-05-01",,,,15.3,,,,,
"1991-06-01",,,,15.4,,,,,
"1991-07-01",,,,15.6,,,,,
"1991-08-01",,,,15.8,,,,,
"1991-09-01",,,,15.9,,,,,
"1991-10-01",,,,15.9,,,,,
"1991-11-01",,,,15.9,,,,11.457,
"1991-12-01",,,,15.9,,,,11.319,
"1992-01-01",,,,16,,,,10.927,
"1992-02-01",,,,16.1,,,,10.792,
"1992-03-01",,,,16.3,,,,10.796,
"1992-04-01",,,,16.4,,,,10.852,
"1992-05-01",,,,16.5,,,,10.835,
"1992-06-01",,,,16.7,,,,11.342,
"1992-07-01",,,,16.9,,,,11.84,
"1992-08-01",,,,17.2,,,,12.223,
"1992-09-01",,,,17.5,,,,12.645,
"1992-10-01",,,,18,,,,12.999,
"1992-11-01",,,,18.4,,,,12.54,
"1992-12-01",,,,18.8,,,,12.532,
"1993-01-01",,,,19.2,,,,12.155,
"1993-02-01",,,,19.5,,,,11.431,
"1993-03-01",,,,20,,,,11.356,
"1993-04-01",,,,20.2,,,,11.486,
"1993-05-01",,,,20.4,,,,11.223,
"1993-06-01",,,,20.9,,,,10.56,
"1993-07-01",,,,21.3,,,,10.216,
"1993-08-01",,,,21.4,,,,9.482,
"1993-09-01",,,,21.5,,,,9.089,
"1993-10-01",,,,21.7,,,,8.688,
"1993-11-01",,,,21.9,,,,8.563,
"1993-12-01",,,,22,,,,8.284,
"1994-01-01",,,,22.2,,,,7.977,94.8762214152684
"1994-02-01",,,,22.3,,,,8.07,95.2538077541267
"1994-03-01",,,,22.2,,,,8.823,95.519138694946
"1994-04-01",,,,22.2,,,,9.068,96.2436962641063
"1994-05-01",,,,22.2,,,,9.548,95.6211890567995
"1994-06-01",,,,22.2,,,,10.283,95.947750214731
"1994-07-01",,,,22.1,,,,10.588,97.233584774086
"1994-08-01",,,,22,,,,10.678,97.1825595931592
"1994-09-01",,,,22,,,,11.222,97.1417394484178
"1994-10-01",,,,21.8,,,,11.135,97.4785056425346
"1994-11-01",,,,21.8,,,,11.166,97.0805092313056
