"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1988-01-01",,,,4.8,,,,,
"1988-02-01",,,,4.6,,,,,
"1988-03-01",,,,4.5,,,,,
"1988-04-01",,,,4.4,,,,,
"1988-05-01",,,,4.3,,,,,
"1988-06-01",,,,4.3,,,,,
"1988-07-01",,,,4.1,,,,,
"1988-08-01",,,,4,,,,,
"1988-09-01",,,,3.9,,,,,
"1988-10-01",,,,3.8,,,,,
"1988-11-01",,,,3.7,,,,,
"1988-12-01",,,,3.6,,,,,
"1989-01-01",,,,3.6,,,,,
"1989-02-01",,,,3.5,,,,,
"1989-03-01",,,,3.4,,,,,
"1989-04-01",,,,3.2,,,,,
"1989-05-01",,,,3.1,,,,,
"1989-06-01",,,,3,,,,,
"1989-07-01",,,,2.9,,,,,
"1989-08-01",,,,2.9,,,,,
"1989-09-01",,,,2.9,,,,,
"1989-10-01",,,,2.9,,,,,
"1989-11-01",,,,2.9,,,,,
"1989-12-01",,,,2.9,,,,,
"1990-01-01",,,,3,,,,,
"1990-02-01",,,,3,,,,,
"1990-03-01",,,,3,,,,,
"1990-04-01",,,,3,,,,,
"1990-05-01",,,,2.9,,,,,
"1990-06-01",,,,2.9,,,,,
"1990-07-01",,,,2.9,,,,,
"1990-08-01",,,,3,,,,,
"1990-09-01",,,,3.2,,,,,
"1990-10-01",,,,3.5,,,,,
"1990-11-01",,,,3.7,,,,,
"1990-12-01",,,,3.9,,,,,
"1991-01-01",,,,4.3,,,,,
"1991-02-01",,,,4.6,,,,,
"1991-03-01",,,,5,,,,,
"1991-04-01",,,,5.4,,,,,
"1991-05-01",,,,5.9,,,,,
"1991-06-01",,,,6.4,,,,,
"1991-07-01",,,,6.9,,,,,
"1991-08-01",,,,7.5,,,,11.058,
"1991-09-01",,,,8,,,,11.014,
"1991-10-01",,,,8.3,,,,10.799,
"1991-11-01",,,,8.7,,,,11.351,
"1991-12-01",,,,9.2,,,,12.061,
"1992-01-01",,,,9.6,,,,11.757,
"1992-02-01",,,,9.9,,,,11.176,
"1992-03-01",,,,10.1,,,,11.245,
"1992-04-01",,,,10.5,,,,11.862,
"1992-05-01",,,,11,,,,11.818,
"1992-06-01",,,,11.6,,,,12.195,
"1992-07-01",,,,12.2,,,,12.107,
"1992-08-01",,,,12.6,,,,12.92,
"1992-09-01",,,,13,,,,13.528,
"1992-10-01",,,,13.3,,,,12.034,
"1992-11-01",,,,13.6,,,,12.044,
"1992-12-01",,,,13.9,,,,10.988,
"1993-01-01",,,,14.2,,,,10.922,
"1993-02-01",,,,14.7,,,,10.267,
"1993-03-01",,,,15.2,,,,9.875,
"1993-04-01",,,,15.6,,,,9.767,
"1993-05-01",,,,16.1,,,,9.461,
"1993-06-01",,,,16.5,,,,9.058,
"1993-07-01",,,,16.8,,,,8.596,
"1993-08-01",,,,17.1,,,,7.865,
"1993-09-01",,,,17.3,,,,7.985,
"1993-10-01",,,,17.5,,,,7.668,
"1993-11-01",,,,17.5,,,,7.387,
"1993-12-01",,,,17.6,,,,7.026,
"1994-01-01",,,,17.6,,,,6.537,107.1606191322
"1994-02-01",,,,16.6,,,,6.578,108.429332656686
"1994-03-01",,,,16.8,,,,7.453,107.840649581325
