"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1983-01-01",,,,7.1,,,,,
"1983-02-01",,,,6.7,,,,,
"1983-03-01",,,,6.7,,,,,
"1983-04-01",,,,7,,,,,
"1983-05-01",,,,7.2,,,,,
"1983-06-01",,,,7.4,,,,,
"1983-07-01",,,,7.5,,,,,
"1983-08-01",,,,7.6,,,,,
"1983-09-01",,,,7.7,,,,,
"1983-10-01",,,,7.8,,,,,
"1983-11-01",,,,7.9,,,,,
"1983-12-01",,,,8,,,,,
"1984-01-01",,,,8.1,,,,,
"1984-02-01",,,,8.1,,,,,
"1984-03-01",,,,8.2,,,,,
"1984-04-01",,,,8.3,,,,,
"1984-05-01",,,,8.4,,,,,
"1984-06-01",,,,8.4,,,,,
"1984-07-01",,,,8.5,,,,,
"1984-08-01",,,,8.6,,,,,
"1984-09-01",,,,8.6,,,,,
"1984-10-01",,,,8.7,,,,,
"1984-11-01",,,,8.8,,,,,
"1984-12-01",,,,8.8,,,,,
"1985-01-01",,,,8.7,,,,,
"1985-02-01",,,,8.7,,,,,
"1985-03-01",,,,8.7,,,,,
"1985-04-01",,,,8.7,,,,,
"1985-05-01",,,,8.7,,,,,
"1985-06-01",,,,8.7,,,,,
"1985-07-01",,,,8.7,,,,,
"1985-08-01",,,,8.7,,,,,
"1985-09-01",,,,8.7,,,,,
"1985-10-01",,,,8.7,,,,,
"1985-11-01",,,,8.7,,,,,
"1985-12-01",,,,8.7,,,,,
"1986-01-01",,,,8.6,,,,10.05,
"1986-02-01",,,,8.6,,,,9.81,
"1986-03-01",,,,8.6,,,,8.81,
"1986-04-01",,,,8.7,,,,8.04,
"1986-05-01",,,,8.8,,,,7.9,
"1986-06-01",,,,8.8,,,,8.06,
"1986-07-01",,,,8.9,,,,7.95,
"1986-08-01",,,,8.9,,,,7.76,
"1986-09-01",,,,9,,,,7.56,
"1986-10-01",,,,9.2,,,,7.99,
"1986-11-01",,,,9.2,,,,8.66,
"1986-12-01",,,,9.2,,,,8.81,
"1987-01-01",,,,9.3,,,,8.86,
"1987-02-01",,,,9.3,,,,9.12,
"1987-03-01",,,,9.2,,,,8.67,
"1987-04-01",,,,9.2,,,,8.69,
"1987-05-01",,,,9.2,,,,8.94,
"1987-06-01",,,,9.1,,,,9.32,
"1987-07-01",,,,9.1,,,,9.37,
"1987-08-01",,,,9.1,,,,9.83,
"1987-09-01",,,,9.1,,,,10.25,
"1987-10-01",,,,9.1,,,,10.7,
"1987-11-01",,,,9.1,,,,9.96,
"1987-12-01",,,,9,,,,9.98,
"1988-01-01",,,,9,,,,9.81,
"1988-02-01",,,,8.9,,,,9.13,
"1988-03-01",,,,8.8,,,,9.26,
"1988-04-01",,,,8.9,,,,9.2,
"1988-05-01",,,,8.8,,,,9.25,
"1988-06-01",,,,8.8,,,,8.96,
"1988-07-01",,,,8.8,,,,8.98,
"1988-08-01",,,,8.8,,,,9.24,
"1988-09-01",,,,8.8,,,,9.01,
"1988-10-01",,,,8.9,,,,8.76,
"1988-11-01",,,,8.8,,,,8.74,
"1988-12-01",,,,8.8,,,,8.69,
"1989-01-01",,,,8.8,,,,8.57,
"1989-02-01",,,,8.7,,,,8.95,
"1989-03-01",,,,8.7,,,,9.08,
"1989-04-01",,,,8.7,,,,8.86,
"1989-05-01",,,,8.7,,,,8.82,
"1989-06-01",,,,8.7,,,,8.67,
"1989-07-01",,,,8.7,,,,8.55,
"1989-08-01",,,,8.7,,,,8.35,
"1989-09-01",,,,8.7,,,,8.55,
"1989-10-01",,,,8.7,,,,8.81,
"1989-11-01",,,,8.7,,,,9.05,
"1989-12-01",,,,8.6,,,,9.12,
"1990-01-01",,,,8.6,,,,9.54,
"1990-02-01",,,,8.5,,,,9.97,
"1990-03-01",,,,8.5,,,,9.98,
"1990-04-01",,,,8.5,,,,9.59,
"1990-05-01",,,,8.4,,,,9.56,
"1990-06-01",,,,8.4,,,,9.69,
"1990-07-01",,,,8.4,,,,9.59,
"1990-08-01",,,,8.3,,,,10.06,
"1990-09-01",,,,8.3,,,,10.49,
"1990-10-01",,,,8.3,,,,10.38,
"1990-11-01",,,,8.3,,,,10.21,
"1990-12-01",,,,8.3,,,,9.94,
"1991-01-01",,,,8.3,,,,9.77,
"1991-02-01",,,,8.3,,,,9.12,
"1991-03-01",,,,8.3,,,,9.05,
"1991-04-01",,,,8.4,,,,8.9,
"1991-05-01",,,,8.5,,,,8.88,
"1991-06-01",,,,8.5,,,,9.15,
"1991-07-01",,,,8.6,,,,9.19,
"1991-08-01",,,,8.7,,,,9.11,
"1991-09-01",,,,8.8,,,,8.88,
"1991-10-01",,,,8.9,,,,8.8,
"1991-11-01",,,,9,,,,8.81,
"1991-12-01",,,,9.1,,,,8.8,
"1992-01-01",,,,9.1,,,,8.46,
"1992-02-01",,,,9.2,,,,8.46,
"1992-03-01",,,,9.3,,,,8.59,
"1992-04-01",,,,9.3,,,,8.68,
"1992-05-01",,,,9.4,,,,8.59,
"1992-06-01",,,,9.4,,,,8.74,
"1992-07-01",,,,9.4,,,,8.9,
"1992-08-01",,,,9.5,,,,9.05,
"1992-09-01",,,,9.6,,,,8.75,
"1992-10-01",,,,9.6,,,,8.44,
"1992-11-01",,,,9.7,,,,8.15,
"1992-12-01",,,,9.8,,,,8.21,
"1993-01-01",,,,9.8,,,,7.97,
"1993-02-01",,,,9.9,,,,7.79,
"1993-03-01",,,,9.9,,,,7.35,
"1993-04-01",,,,10.1,,,,7.16,
"1993-05-01",,,,10.1,,,,7.19,
"1993-06-01",,,,10.2,,,,7.01,
"1993-07-01",,,,10.3,,,,6.75,
"1993-08-01",,,,10.4,,,,6.34,
"1993-09-01",,,,10.5,,,,6.14,
"1993-10-01",,,,10.6,,,,5.98,
"1993-11-01",,,,10.7,,,,6.03,
"1993-12-01",,,,10.7,,,,5.8,
"1994-01-01",,,,10.8,,,,5.67,115.979764027402
"1994-02-01",,,,10.8,,,,5.97,115.426943190834
"1994-03-01",,,,10.8,,,,6.38,116.440448057876
"1994-04-01",,,,10.8,,,,6.69,115.385993499236
"1994-05-01",,,,10.8,,,,6.98,116.36878609758
"1994-06-01",,,,10.7,,,,7.5,117.075168277639
"1994-07-01",,,,10.7,,,,7.39,117.904399532491
"1994-08-01",,,,10.6,,,,7.65,117.822500149296
"1994-09-01",,,,10.6,,,,8.1,118.057960875982
"1994-10-01",,,,10.5,,,,8.19,118.631256558349
"1994-11-01",,,,10.5,,,,8.14,117.781550457698
"1994-12-01",,,,10.4,,,,8.03,116.88065724255
"1995-01-01",,,,10.4,,,,8.22,117.525614885213
"1995-02-01",,,,10.3,,,,8.01,117.781550457698
"1995-03-01",,,,10.3,,,,8.03,119.767610500183
"1995-04-01",,,,10.4,,,,7.81,120.86301475042
"1995-05-01",,,,10.4,,,,7.52,118.109147990479
"1995-06-01",,,,10.5,,,,7.45,118.774580478941
"1995-07-01",,,,10.5,,,,7.45,119.82903503758
"1995-08-01",,,,10.6,,,,7.33,119.767610500183
"1995-09-01",,,,10.6,,,,7.35,119.317163892609
"1995-10-01",,,,10.7,,,,7.49,119.573099465095
"1995-11-01",,,,10.7,,,,7.04,120.955151556515
"1995-12-01",,,,10.7,,,,6.71,120.187344839059
"1996-01-01",102921.975478319,77.6869012594282,74.1293822551479,10.7,,,,6.47,119.767610500183
"1996-02-01",103077.029910043,77.7800316957838,74.4193798385013,10.7,,,,6.6,119.071465743024
"1996-03-01",103768.094611638,77.9571082332998,74.8993758385347,10.7,,,,6.65,119.409300698704
"1996-04-01",102910.716948893,78.0509003718136,74.9893750885409,10.9,,,,6.51,119.112415434621
"1996-05-01",104390.24983765,77.9090865463722,75.1893734218881,10.9,,,,6.47,118.365083562964
"1996-06-01",103818.733213457,78.0339360867027,75.1093740885493,10.9,,,,6.56,118.150097682077
"1996-07-01",103074.956162816,78.2410224194608,74.9393755052041,10.9,,,,6.49,118.743868210243
"1996-08-01",104582.099212017,77.8675679717623,74.7793768385263,10.9,,,,6.41,118.037486030183
"1996-09-01",104880.144625167,78.0500175404157,75.019374838543,10.9,,,,6.29,117.464190347816
"1996-10-01",104109.431987374,78.2967856282278,75.2193731718902,10.8,,,,5.98,117.525614885213
"1996-11-01",104760.462535412,78.0101480837066,75.1593736718861,10.8,,,,5.83,117.341341273024
"1996-12-01",105139.405477213,78.0515114278493,75.3293722552312,10.9,,,,5.75,116.399498366278
"1997-01-01",104912.448193659,78.2362486176619,75.489370921909,10.9,,,,5.69,115.089108235154
"1997-02-01",105599.807109552,78.3193171907793,75.6693694219215,10.9,,,,5.45,114.014178830716
"1997-03-01",105729.344696789,78.4631820169424,75.739368838593,10.9,,,,5.67,113.901567178822
"1997-04-01",107740.861706244,78.2330766834044,75.7493687552604,11,,,,5.81,113.307796650656
"1997-05-01",106232.518983265,78.7798970141176,75.8593678386013,10.9,,,,5.71,113.062098501071
"1997-06-01",106648.419310491,78.7935656819543,75.849367921934,10.9,,,,5.65,111.987169096633
"1997-07-01",106693.018617755,78.7532670463414,75.739368838593,10.9,,,,5.44,110.062533591544
"1997-08-01",109630.38028696,78.4863794886519,75.9593670052749,10.9,,,,5.59,109.96015936255
"1997-09-01",108111.801095285,79.0207136688501,76.099365838618,10.9,232549.183155974,542155.187672402,787694.064744535,5.53,111.536722489059
"1997-10-01",109826.935016013,78.7266317713772,76.0493662552812,10.9,233542.814752787,547325.11023856,792239.54551224,5.6,112.488802818704
"1997-11-01",108545.058961537,79.2627346084728,76.1793651719569,10.8,237557.335427553,553415.200294979,794364.259403995,5.57,113.440883148349
"1997-12-01",110440.406022449,79.1140792559135,76.209364921959,10.8,245851.113047332,559863.83305286,808701.570555206,5.32,113.563732223142
"1998-01-01",110603.232628269,79.0269779228257,75.9193673386055,10.8,238741.088607963,563151.243850894,812353.872034037,5.12,113.205422421662
"1998-02-01",111667.783460922,79.2626931198001,76.2293647552937,10.7,240017.396547018,567992.782717617,815996.682215143,5.04,112.847112620183
"1998-03-01",110766.183910809,79.5778658741484,76.3593636719694,10.7,242211.82835152,574342.903635828,821099.882454505,4.96,112.355716321011
"1998-04-01",111483.586154615,79.5009199975674,76.5393621719819,10.7,243370.853775918,578039.078954017,826630.270818857,4.97,112.539989933201
"1998-05-01",112324.814185746,79.3319817933607,76.569361921984,10.7,244626.795806875,579519.586271587,825177.262530784,5.01,113.676343875035
"1998-06-01",112240.099659638,79.477853438574,76.6493612553229,10.7,249282.355847162,584161.25069365,828503.613309307,4.86,113.850380064325
"1998-07-01",112990.523256017,79.1417979718704,76.3393638386347,10.7,243372.633696667,570984.540300531,829292.203441732,4.78,113.369221188053
"1998-08-01",111538.326001638,79.6553740515453,76.459362838643,10.6,239789.267851974,564907.786002822,818663.374386252,4.53,114.044891099414
"1998-09-01",113173.050742344,79.4577693625974,76.4993625053124,10.6,251491.205434434,579658.410855269,824146.533734866,4.2,115.345043807639
"1998-10-01",113090.307383093,79.4364571529442,76.4093632553062,10.7,252001.505901536,582878.270620633,841010.444221797,4.19,115.877389798408
"1998-11-01",113558.334998762,79.3750173522544,76.3593636719694,10.7,252725.187106181,584024.341405734,833269.767041149,4.2,114.710323587875
"1998-12-01",113514.757618145,79.5415060817869,76.4093632553062,10.7,253350.653379329,582369.259166056,821192.333814317,3.91,114.956021737461
"1999-01-01",114049.584598345,79.3082689749101,76.1593653386222,10.7,275567.418400681,605526.49591102,833094.806008916,3.78,114.270114403201
"1999-02-01",114348.759807697,79.5519138065171,76.4293630886409,10.8,273958.386481944,603426.642974047,837389.826875345,3.94,113.512545108645
