"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1983-01-01",,,,12.9,,,,,
"1983-02-01",,,,13.2,,,,,
"1983-03-01",,,,13.4,,,,,
"1983-04-01",,,,13.5,,,,,
"1983-05-01",,,,13.7,,,,,
"1983-06-01",,,,13.9,,,,,
"1983-07-01",,,,14,,,,,
"1983-08-01",,,,14.1,,,,,
"1983-09-01",,,,14.3,,,,,
"1983-10-01",,,,14.5,,,,,
"1983-11-01",,,,14.6,,,,,
"1983-12-01",,,,14.7,,,,,
"1984-01-01",,,,14.9,,,,,
"1984-02-01",,,,15.1,,,,,
"1984-03-01",,,,15.2,,,,,
"1984-04-01",,,,15.3,,,,,
"1984-05-01",,,,15.4,,,,,
"1984-06-01",,,,15.4,,,,,
"1984-07-01",,,,15.5,,,,,
"1984-08-01",,,,15.6,,,,,
"1984-09-01",,,,15.7,,,,,
"1984-10-01",,,,15.8,,,,,
"1984-11-01",,,,16,,,,,
"1984-12-01",,,,16.1,,,,,
"1985-01-01",,,,16.3,,,,,
"1985-02-01",,,,16.6,,,,,
"1985-03-01",,,,16.6,,,,,
"1985-04-01",,,,16.7,,,,,
"1985-05-01",,,,16.7,,,,,
"1985-06-01",,,,16.8,,,,,
"1985-07-01",,,,16.9,,,,,
"1985-08-01",,,,17,,,,,
"1985-09-01",,,,17.1,,,,,
"1985-10-01",,,,17,,,,,
"1985-11-01",,,,16.9,,,,,
"1985-12-01",,,,17,,,,,
"1986-01-01",,,,16.9,,,,,
"1986-02-01",,,,16.8,,,,,
"1986-03-01",,,,16.8,,,,,
"1986-04-01",,,,16.8,,,,,
"1986-05-01",,,,16.8,,,,,
"1986-06-01",,,,16.9,,,,,
"1986-07-01",,,,16.9,,,,,
"1986-08-01",,,,16.8,,,,,
"1986-09-01",,,,16.8,,,,,
"1986-10-01",,,,16.7,,,,,
"1986-11-01",,,,16.8,,,,,
"1986-12-01",,,,16.8,,,,,
"1987-01-01",,,,16.8,,,,,
"1987-02-01",,,,16.7,,,,,
"1987-03-01",,,,16.7,,,,,
"1987-04-01",,,,16.7,,,,,
"1987-05-01",,,,16.7,,,,,
"1987-06-01",,,,16.7,,,,,
"1987-07-01",,,,16.6,,,,,
"1987-08-01",,,,16.5,,,,,
"1987-09-01",,,,16.5,,,,,
"1987-10-01",,,,16.5,,,,,
"1987-11-01",,,,16.5,,,,,
"1987-12-01",,,,16.5,,,,,
"1988-01-01",,,,16.5,,,,,
"1988-02-01",,,,16.5,,,,,
"1988-03-01",,,,16.5,,,,,
"1988-04-01",,,,16.4,,,,,
"1988-05-01",,,,16.3,,,,,
"1988-06-01",,,,16.3,,,,,
"1988-07-01",,,,16.2,,,,,
"1988-08-01",,,,16.2,,,,,
"1988-09-01",,,,16.1,,,,,
"1988-10-01",,,,16,,,,,
"1988-11-01",,,,15.8,,,,,
"1988-12-01",,,,15.7,,,,,
"1989-01-01",,,,15.5,,,,,
"1989-02-01",,,,15.4,,,,,
"1989-03-01",,,,15.2,,,,,
"1989-04-01",,,,15.1,,,,,
"1989-05-01",,,,15,,,,,
"1989-06-01",,,,14.9,,,,,
"1989-07-01",,,,14.6,,,,,
"1989-08-01",,,,14.5,,,,,
"1989-09-01",,,,14.3,,,,,
"1989-10-01",,,,14.2,,,,,
"1989-11-01",,,,14.1,,,,,
"1989-12-01",,,,13.9,,,,,
"1990-01-01",,,,13.8,,,,,
"1990-02-01",,,,13.7,,,,,
