"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1983-01-01",,,,6.9,,,,,
"1983-02-01",,,,7.1,,,,,
"1983-03-01",,,,7.2,,,,,
"1983-04-01",,,,7.2,,,,,
"1983-05-01",,,,7.3,,,,,
"1983-06-01",,,,7.3,,,,,
"1983-07-01",,,,7.4,,,,,
"1983-08-01",,,,7.4,,,,,
"1983-09-01",,,,7.5,,,,,
"1983-10-01",,,,7.6,,,,,
"1983-11-01",,,,7.7,,,,,
"1983-12-01",,,,7.8,,,,,
"1984-01-01",,,,7.9,,,,,
"1984-02-01",,,,7.9,,,,,
"1984-03-01",,,,7.8,,,,,
"1984-04-01",,,,7.9,,,,,
"1984-05-01",,,,7.8,,,,,
"1984-06-01",,,,7.8,,,,,
"1984-07-01",,,,7.8,,,,,
"1984-08-01",,,,7.8,,,,,
"1984-09-01",,,,7.8,,,,,
"1984-10-01",,,,7.8,,,,,
"1984-11-01",,,,7.8,,,,,
"1984-12-01",,,,7.9,,,,,
"1985-01-01",,,,8,,,,,
"1985-02-01",,,,8,,,,,
"1985-03-01",,,,8,,,,,
"1985-04-01",,,,8,,,,,
"1985-05-01",,,,8,,,,,
"1985-06-01",,,,8.1,,,,,
"1985-07-01",,,,8.2,,,,,
"1985-08-01",,,,8.2,,,,,
"1985-09-01",,,,8.3,,,,,
"1985-10-01",,,,8.3,,,,,
"1985-11-01",,,,8.4,,,,,
"1985-12-01",,,,8.5,,,,,
"1986-01-01",,,,8.5,,,,,
"1986-02-01",,,,8.6,,,,,
"1986-03-01",,,,8.6,,,,,
"1986-04-01",,,,8.7,,,,,
"1986-05-01",,,,8.8,,,,,
"1986-06-01",,,,8.8,,,,,
"1986-07-01",,,,8.9,,,,,
"1986-08-01",,,,9,,,,,
"1986-09-01",,,,9.1,,,,,
"1986-10-01",,,,9.1,,,,,
"1986-11-01",,,,9.1,,,,,
"1986-12-01",,,,9.2,,,,,
"1987-01-01",,,,9.2,,,,,
"1987-02-01",,,,9.3,,,,,
"1987-03-01",,,,9.3,,,,,
"1987-04-01",,,,9.4,,,,,
"1987-05-01",,,,9.7,,,,,
"1987-06-01",,,,9.9,,,,,
"1987-07-01",,,,9.8,,,,,
"1987-08-01",,,,9.8,,,,,
"1987-09-01",,,,9.8,,,,,
"1987-10-01",,,,9.8,,,,,
"1987-11-01",,,,9.7,,,,,
"1987-12-01",,,,9.7,,,,,
"1988-01-01",,,,9.7,,,,,
"1988-02-01",,,,9.7,,,,,
"1988-03-01",,,,9.7,,,,,
"1988-04-01",,,,9.7,,,,,
"1988-05-01",,,,9.6,,,,,
"1988-06-01",,,,9.6,,,,,
"1988-07-01",,,,9.6,,,,,
"1988-08-01",,,,9.6,,,,,
"1988-09-01",,,,9.6,,,,,
"1988-10-01",,,,9.8,,,,,
"1988-11-01",,,,9.8,,,,,
"1988-12-01",,,,9.8,,,,,
"1989-01-01",,,,9.8,,,,,
"1989-02-01",,,,9.8,,,,,
"1989-03-01",,,,9.8,,,,,
"1989-04-01",,,,9.8,,,,,
"1989-05-01",,,,9.8,,,,,
"1989-06-01",,,,9.8,,,,,
"1989-07-01",,,,9.8,,,,,
"1989-08-01",,,,9.7,,,,,
"1989-09-01",,,,9.6,,,,,
"1989-10-01",,,,9.4,,,,,
"1989-11-01",,,,9.4,,,,,
"1989-12-01",,,,9.3,,,,,
"1990-01-01",,,,9.1,,,,,
"1990-02-01",,,,9,,,,,
"1990-03-01",,,,8.9,,,,,
"1990-04-01",,,,8.9,,,,,
"1990-05-01",,,,8.9,,,,,
"1990-06-01",,,,8.9,,,,,
"1990-07-01",,,,8.8,,,,,
"1990-08-01",,,,8.8,,,,,
"1990-09-01",,,,8.8,,,,,
"1990-10-01",,,,8.8,,,,,
"1990-11-01",,,,8.7,,,,,
"1990-12-01",,,,8.7,,,,,
"1991-01-01",,,,8.7,,,,,
"1991-02-01",,,,8.6,,,,,
"1991-03-01",,,,8.6,,,,13.767,
"1991-04-01",,,,8.5,,,,13.433,
"1991-05-01",,,,8.5,,,,13.06,
"1991-06-01",,,,8.4,,,,13.094,
"1991-07-01",,,,8.4,,,,13.337,
"1991-08-01",,,,8.4,,,,13.448,
"1991-09-01",,,,8.5,,,,13.017,
"1991-10-01",,,,8.5,,,,12.791,
"1991-11-01",,,,8.7,,,,12.908,
"1991-12-01",,,,8.6,,,,12.952,
"1992-01-01",,,,8.6,,,,12.677,
"1992-02-01",,,,8.7,,,,12.608,
"1992-03-01",,,,8.7,,,,12.575,
"1992-04-01",,,,8.7,,,,12.69,
"1992-05-01",,,,8.6,,,,12.579,
"1992-06-01",,,,8.7,,,,13.102,
"1992-07-01",,,,8.9,,,,13.63,
"1992-08-01",,,,9,,,,13.679,
"1992-09-01",,,,9.1,,,,14.113,
"1992-10-01",,,,8.9,,,,14.419,
"1992-11-01",,,,8.9,,,,13.466,
