"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","xr_usd"
"1946-01-01",,,,,,,,,3.29,,,,,,,
"1946-02-01",,,,,,,,,3.29,,,,,,,
"1946-03-01",,,,,,,,,3.29,,,,,,,
"1946-04-01",,,,,,,,,3.29,,,,,,,
"1946-05-01",,,,,,,,,3.29,,,,,,,
"1946-06-01",,,,,,,,,3.29,,,,,,,
"1946-07-01",,,,,,,,,3.29,,,,,,,
"1946-08-01",,,,,,,,,3.29,,,,,,,
"1946-09-01",,,,,,,,,3.29,,,,,,,
"1946-10-01",,,,,,,,,3.65,,,,,,,
"1946-11-01",,,,,,,,,3.65,,,,,,,
"1946-12-01",,,,,,,,,3.65,,,,,,,
"1947-01-01",,,,,,,,,3.65,,,,,,,
"1947-02-01",,,,,,,,,3.65,,,,,,,
"1947-03-01",,,,,,,,,3.65,,,,,,,
"1947-04-01",,,,,,,,,3.65,,,,,,,
"1947-05-01",,,,,,,,,3.65,,,,,,,
"1947-06-01",,,,,,,,,3.65,,,,,,,
"1947-07-01",,,,,,,,,3.65,,,,,,,
"1947-08-01",,,,,,,,,3.65,,,,,,,
"1947-09-01",,,,,,,,,3.65,,,,,,,
"1947-10-01",,,,,,,,,3.65,,,,,,,
"1947-11-01",,,,,,,,,3.65,,,,,,,
"1947-12-01",,,,,,,,,3.65,,,,,,,
"1948-01-01",,,,,,,,,3.65,,,,,,,
"1948-02-01",,,,,,,,,3.65,,,,,,,
"1948-03-01",,,,,,,,,3.65,,,,,,,
"1948-04-01",,,,,,,,,4.38,,,,,,,
"1948-05-01",,,,,,,,,4.38,,,,,,,
"1948-06-01",,,,,,,,,4.38,,,,,,,
"1948-07-01",,,,,,,,,5.11,,,,,,,
"1948-08-01",,,,,,,,,5.11,,,,,,,
"1948-09-01",,,,,,,,,5.11,,,,,,,
"1948-10-01",,,,,,,,,5.11,,,,,,,
"1948-11-01",,,,,,,,,5.11,,,,,,,
"1948-12-01",,,,,,,,,5.11,,,,,,,
"1949-01-01",,,,,,,,,5.11,,,,,,,
"1949-02-01",,,,,,,,,5.11,,,,,,,
"1949-03-01",,,,,,,,,5.11,,,,,,,
"1949-04-01",,,,,,,,,5.11,,,,,,,
"1949-05-01",,,,,,,,,5.11,,,,,173.010833333333,,
"1949-06-01",,,,,,,,,5.11,,,,,161.119545454545,,
"1949-07-01",,,,,,,,,5.11,,,,,144.137142857143,,
"1949-08-01",,,,,,,,,5.11,,,,,161.06,,
"1949-09-01",,,,,,,,,5.11,,,,,167.364761904762,,
"1949-10-01",,,,,,,,,5.11,,,,,145.788095238095,,
"1949-11-01",,,,,,,,,5.11,,,,,132.9845,,
"1949-12-01",,,,,,,,,5.11,,,,,111.4895,,
"1950-01-01",,,,,,,,,5.11,,,,,98.252,,
"1950-02-01",,,,,,,,,5.11,,,,,106.16,,
"1950-03-01",,,,,,,,,5.11,,,,,101.656363636364,,
"1950-04-01",,,,,,,,,5.11,,,,,93.7015,,
"1950-05-01",,,,,,,,,5.11,,,,,97.2966666666667,,
"1950-06-01",,,,,,,,,5.11,,,,,91.0181818181818,,
"1950-07-01",,,,,,,,,5.11,,,,,96.1471428571429,,
"1950-08-01",,,,,,,,,5.11,,,,,107.901304347826,,
"1950-09-01",,,,,,,,,5.11,,,,,108.380476190476,,
"1950-10-01",,,,,,,,,5.11,,,,,106.159545454545,,
"1950-11-01",,,,,,,,,5.11,,,,,110.608,,
"1950-12-01",,,,,,,,,5.11,,,,,102.755,,
"1951-01-01",,,,,,,,,5.11,,,,,108.541052631579,,
"1951-02-01",,,,,,,,,5.11,,,,,119.387368421053,,
"1951-03-01",,,,,,,,,5.11,,,,,127.75619047619,,
"1951-04-01",,,,,,,,,5.11,,,,,121.616666666667,,
"1951-05-01",,,,,,,,,5.11,,,,,124.560909090909,,
"1951-06-01",,,,,,,,,5.11,,,,,132.650952380952,,
"1951-07-01",,,,,,,,,5.11,,,,,130.293181818182,,
"1951-08-01",,,,,,,,,5.11,,,,,139.408695652174,,
"1951-09-01",,,,,,,,,5.11,,,,,146.985789473684,,
"1951-10-01",,,,,,,,,5.84,,,,,161.899565217391,,
"1951-11-01",,,,,,,,,5.84,,,,,159.692857142857,,
"1951-12-01",,,,,,,,,5.84,,,,,160.058,,
"1952-01-01",,,,,,,,,5.84,,,,,179.045263157895,,
"1952-02-01",,,,,,,,,5.84,,,,,188.16,,
"1952-03-01",,,,,,,,,5.84,,,,,183.4465,,
"1952-04-01",,,,,,,,,5.84,,,,,190.936666666667,,
"1952-05-01",,,,,,,,,5.84,,,,,210.635238095238,,
"1952-06-01",,,,,,,,,5.84,,,,,235.037142857143,,
"1952-07-01",,,,,,,,,5.84,,,,,252.564347826087,,
"1952-08-01",,,,,,,,,5.84,,,,,257.713333333333,,
"1952-09-01",,,,,,,,,5.84,,,,,259.258095238095,,
"1952-10-01",,,,,,,,,5.84,,,,,297.00347826087,,
"1952-11-01",,,,,,,,,5.84,,,,,336.628947368421,,
"1952-12-01",,,,,,,,,5.84,,,,,356.295,,
"1953-01-01",,,,1.9,,,,,5.84,,,,,412.018421052632,,
"1953-02-01",,,,1.9,,,,,5.84,,,,,435.514736842105,,
"1953-03-01",,,,1.8,,,,,5.84,,,,,360.232727272727,,
