"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","cmr_1d","gov_10y","kospi","kosdaq","reer","xr_usd"
"1957-01-01",,,,,,,,,,,,,50
"1957-02-01",,,,,,,,,,,,,50
"1957-03-01",,,,,,,,,,,,,50
"1957-04-01",,,,,,,,,,,,,50
"1957-05-01",,,,,,,,,,,,,50
"1957-06-01",,,,,,,,,,,,,50
"1957-07-01",,,,,,,,,,,,,50
"1957-08-01",,,,,,,,,,,,,50
"1957-09-01",,,,,,,,,,,,,50
"1957-10-01",,,,,,,,,,,,,50
"1957-11-01",,,,,,,,,,,,,50
"1957-12-01",,,,,,,,,,,,,50
"1958-01-01",,,,,,,,,,,,,50
"1958-02-01",,,,,,,,,,,,,50
"1958-03-01",,,,,,,,,,,,,50
"1958-04-01",,,,,,,,,,,,,50
"1958-05-01",,,,,,,,,,,,,50
"1958-06-01",,,,,,,,,,,,,50
"1958-07-01",,,,,,,,,,,,,50
"1958-08-01",,,,,,,,,,,,,50
"1958-09-01",,,,,,,,,,,,,50
"1958-10-01",,,,,,,,,,,,,50
"1958-11-01",,,,,,,,,,,,,50
"1958-12-01",,,,,,,,,,,,,50
"1959-01-01",,,,,,,,,,,,,50
"1959-02-01",,,,,,,,,,,,,50
"1959-03-01",,,,,,,,,,,,,50
"1959-04-01",,,,,,,,,,,,,50
"1959-05-01",,,,,,,,,,,,,50
"1959-06-01",,,,,,,,,,,,,50
"1959-07-01",,,,,,,,,,,,,50
"1959-08-01",,,,,,,,,,,,,50
"1959-09-01",,,,,,,,,,,,,50
"1959-10-01",,,,,,,,,,,,,50
"1959-11-01",,,,,,,,,,,,,50
"1959-12-01",,,,,,,,,,,,,50
"1960-01-01",,,,,,,,,,,,,50
"1960-02-01",,,,,,,,,,,,,57.5
"1960-03-01",,,,,,,,,,,,,65
"1960-04-01",,,,,,,,,,,,,65
"1960-05-01",,,,,,,,,,,,,65
"1960-06-01",,,,,,,,,,,,,65
"1960-07-01",,,,,,,,,,,,,65
"1960-08-01",,,,,,,,,,,,,65
"1960-09-01",,,,,,,,,,,,,65
"1960-10-01",,,,,,,,,,,,,65
"1960-11-01",,,,,,,,,,,,,65
"1960-12-01",,,,,,,,,,,,,65
"1961-01-01",,,,,,,,,,,,,82.5
"1961-02-01",,,,,,,,,,,,,115
"1961-03-01",,,,,,,,,,,,,130
"1961-04-01",,,,,,,,,,,,,130
"1961-05-01",,,,,,,,,,,,,130
"1961-06-01",,,,,,,,,,,,,130
"1961-07-01",,,,,,,,,,,,,130
"1961-08-01",,,,,,,,,,,,,130
"1961-09-01",,,,,,,,,,,,,130
"1961-10-01",,,,,,,,,,,,,130
"1961-11-01",,,,,,,,,,,,,130
"1961-12-01",,,,,,,,,,,,,130
"1962-01-01",,,,,,,,,,,,,130
"1962-02-01",,,,,,,,,,,,,130
"1962-03-01",,,,,,,,,,,,,130
"1962-04-01",,,,,,,,,,,,,130
"1962-05-01",,,,,,,,,,,,,130
"1962-06-01",,,,,,,,,,,,,130
"1962-07-01",,,,,,,,,,,,,130
"1962-08-01",,,,,,,,,,,,,130
"1962-09-01",,,,,,,,,,,,,130
"1962-10-01",,,,,,,,,,,,,130
