"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","cmr_1d","gov_10y","kospi","kosdaq","reer","rrppi","xr_usd","hfwh"
"1957-01-01",,,,,,,,,,,,,,,,50,
"1957-04-01",,,,,,,,,,,,,,,,50,
"1957-07-01",,,,,,,,,,,,,,,,50,
"1957-10-01",,,,,,,,,,,,,,,,50,
"1958-01-01",,,,,,,,,,,,,,,,50,
"1958-04-01",,,,,,,,,,,,,,,,50,
"1958-07-01",,,,,,,,,,,,,,,,50,
"1958-10-01",,,,,,,,,,,,,,,,50,
"1959-01-01",,,,,,,,,,,,,,,,50,
"1959-04-01",,,,,,,,,,,,,,,,50,
"1959-07-01",,,,,,,,,,,,,,,,50,
"1959-10-01",,,,,,,,,,,,,,,,50,
"1960-01-01",49240,56640,0.668201074986375,0.795139439041984,,,,,,,,,,,,57.5,
"1960-04-01",51110,61530,0.65727486157668,0.82559999612264,,,,,,,,,,,,65,
"1960-07-01",54210,65440,0.728369791620132,0.888164749739663,,,,,,,,,,,,65,
"1960-10-01",58260,67130,0.750610527455484,0.905810275952882,,,,,,,,,,,,65,
"1961-01-01",64980,72930,0.830150360142309,0.953935275579704,,,,,,,,,,,,109.166666666667,
"1961-04-01",59020,74920,0.761249392876505,0.939331462990894,,,,,,,,,,,,130,
"1961-07-01",62530,75530,0.80835249098881,0.964353294047377,,,,,,,,,,,,130,
"1961-10-01",66960,79510,0.860077861891907,1.00225292406907,,,,,,,,,,,,130,
"1962-01-01",72520,87110,0.851894520264804,1.07687878818471,,,,,,,,,,,,130,
"1962-04-01",69920,89550,0.816928332205045,1.12863587596562,,,,,,,,,,,,130,
"1962-07-01",77110,89420,0.904028636032499,1.09396016112714,,,,,,,,,,,,130,
"1962-10-01",85440,101430,0.9976036441654,1.20464248854021,,,,,,,,,,,,130,
"1963-01-01",85120,118030,1.018269146514,1.3262350724919,,,,,,,,,,,,130,
"1963-04-01",89990,121570,1.00611525781141,1.40047343256802,,,,,,,,,,,,130,
"1963-07-01",119310,133280,1.3314199765082,1.48424355687042,,,,,,,,,,,,130,
"1963-10-01",124550,148140,1.33077652260904,1.64671023254772,,,,,,,,,,,,130,
"1964-01-01",144490,160740,1.52169446750497,1.68955366062354,,,,,,,,,,,,130,
"1964-04-01",152760,178230,1.59000238144125,1.92996508195107,,,,,,,,,,,,213.846666666667,
"1964-07-01",154490,193490,1.59320257276731,1.95978214375137,,,,,,,,,,,,255.77,
"1964-10-01",162530,211040,1.64294876021611,2.05169225687388,,,,,,,,,,,,255.77,
