"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1983-01-01",,,,3.3,,,,,
"1983-02-01",,,,3.3,,,,,
"1983-03-01",,,,3.2,,,,,
"1983-04-01",,,,3.3,,,,,
"1983-05-01",,,,3.5,,,,,
"1983-06-01",,,,3.6,,,,,
"1983-07-01",,,,3.6,,,,,
"1983-08-01",,,,3.7,,,,,
"1983-09-01",,,,3.5,,,,,
"1983-10-01",,,,3.3,,,,,
"1983-11-01",,,,3.4,,,,,
"1983-12-01",,,,3.3,,,,,
"1984-01-01",,,,3.3,,,,,
"1984-02-01",,,,3.3,,,,,
"1984-03-01",,,,3.2,,,,,
"1984-04-01",,,,3,,,,,
"1984-05-01",,,,2.9,,,,,
"1984-06-01",,,,2.9,,,,,
"1984-07-01",,,,3,,,,,
"1984-08-01",,,,3,,,,,
"1984-09-01",,,,2.9,,,,,
"1984-10-01",,,,3,,,,,
"1984-11-01",,,,3,,,,,
"1984-12-01",,,,2.8,,,,,
"1985-01-01",,,,2.8,,,,,
"1985-02-01",,,,2.8,,,,,
"1985-03-01",,,,2.9,,,,,
"1985-04-01",,,,3,,,,,
"1985-05-01",,,,3,,,,,
"1985-06-01",,,,3,,,,,
"1985-07-01",,,,3,,,,,
"1985-08-01",,,,2.9,,,,,
"1985-09-01",,,,2.8,,,,,
"1985-10-01",,,,2.8,,,,,
"1985-11-01",,,,2.8,,,,,
"1985-12-01",,,,2.8,,,,,
"1986-01-01",,,,2.8,,,,,
"1986-02-01",,,,2.8,,,,,
"1986-03-01",,,,2.7,,,,,
"1986-04-01",,,,2.7,,,,,
"1986-05-01",,,,2.7,,,,,
"1986-06-01",,,,2.7,,,,,
"1986-07-01",,,,2.5,,,,,
"1986-08-01",,,,2.5,,,,,
"1986-09-01",,,,2.4,,,,,
"1986-10-01",,,,2.3,,,,,
"1986-11-01",,,,2.3,,,,,
"1986-12-01",,,,2.4,,,,,
"1987-01-01",,,,2.4,,,,,
"1987-02-01",,,,2.5,,,,,
"1987-03-01",,,,2.6,,,,,
"1987-04-01",,,,2.6,,,,,
"1987-05-01",,,,2.6,,,,,
"1987-06-01",,,,2.5,,,,,
"1987-07-01",,,,2.5,,,,,
"1987-08-01",,,,2.4,,,,,
"1987-09-01",,,,2.4,,,,,
"1987-10-01",,,,2.3,,,,,
"1987-11-01",,,,2.3,,,,,
"1987-12-01",,,,2.3,,,,,
"1988-01-01",,,,2.3,,,,,
"1988-02-01",,,,2.2,,,,,
"1988-03-01",,,,2.2,,,,,
"1988-04-01",,,,2.1,,,,,
"1988-05-01",,,,2,,,,,
"1988-06-01",,,,2,,,,,
"1988-07-01",,,,2,,,,,
"1988-08-01",,,,1.9,,,,,
"1988-09-01",,,,1.9,,,,,
"1988-10-01",,,,1.8,,,,,
"1988-11-01",,,,1.8,,,,,
"1988-12-01",,,,1.8,,,,,
"1989-01-01",,,,1.7,,,,,
"1989-02-01",,,,1.7,,,,,
"1989-03-01",,,,1.7,,,,,
"1989-04-01",,,,1.8,,,,,
"1989-05-01",,,,1.7,,,,,
"1989-06-01",,,,1.8,,,,,
"1989-07-01",,,,1.8,,,,,
"1989-08-01",,,,1.9,,,,,
"1989-09-01",,,,1.9,,,,,
"1989-10-01",,,,1.9,,,,,
"1989-11-01",,,,1.8,,,,,
"1989-12-01",,,,1.8,,,,,
"1990-01-01",,,,1.8,,,,,
"1990-02-01",,,,1.8,,,,,
"1990-03-01",,,,1.7,,,,,
"1990-04-01",,,,1.7,,,,,
"1990-05-01",,,,1.7,,,,,
"1990-06-01",,,,1.7,,,,,
"1990-07-01",,,,1.6,,,,,
"1990-08-01",,,,1.6,,,,,
"1990-09-01",,,,1.5,,,,,
"1990-10-01",,,,1.6,,,,,
"1990-11-01",,,,1.6,,,,,
"1990-12-01",,,,1.6,,,,,
"1991-01-01",,,,1.6,,,,,
"1991-02-01",,,,1.5,,,,,
"1991-03-01",,,,1.4,,,,,
"1991-04-01",,,,1.5,,,,,
"1991-05-01",,,,1.6,,,,,
"1991-06-01",,,,1.6,,,,,
"1991-07-01",,,,1.6,,,,,
"1991-08-01",,,,1.7,,,,,
"1991-09-01",,,,1.7,,,,,
"1991-10-01",,,,1.8,,,,,
"1991-11-01",,,,1.8,,,,,
"1991-12-01",,,,1.8,,,,,
"1992-01-01",,,,1.8,,,,,
"1992-02-01",,,,1.9,,,,,
"1992-03-01",,,,2,,,,,
"1992-04-01",,,,2,,,,,
"1992-05-01",,,,2.1,,,,,
"1992-06-01",,,,2,,,,,
"1992-07-01",,,,2.1,,,,,
"1992-08-01",,,,2.1,,,,,
"1992-09-01",,,,2.2,,,,,
"1992-10-01",,,,2.2,,,,,
"1992-11-01",,,,2.2,,,,,
"1992-12-01",,,,2.2,,,,,
"1993-01-01",,,,2.2,,,,,
"1993-02-01",,,,2.2,,,,,
"1993-03-01",,,,2.3,,,,,
"1993-04-01",,,,2.4,,,,,
"1993-05-01",,,,2.4,,,,,
"1993-06-01",,,,2.5,,,,,
"1993-07-01",,,,2.7,,,,,
"1993-08-01",,,,2.8,,,,,
"1993-09-01",,,,2.9,,,,,
"1993-10-01",,,,2.9,,,,6.677,
"1993-11-01",,,,3,,,,6.517,
"1993-12-01",,,,3,,,,6.296,
"1994-01-01",,,,3.1,,,,6.332,99.4980234142873
"1994-02-01",,,,3.2,,,,6.43,99.9246611869672
"1994-03-01",,,,3.3,,,,6.72,100.341140917441
"1994-04-01",,,,3.4,,,,6.981,100.148138115514
"1994-05-01",,,,3.3,,,,7.114,100.534143719367
"1994-06-01",,,,3.2,,,,7.153,100.696672394674
"1994-07-01",,,,3.2,,,,7.128,101.28583884266
"1994-08-01",,,,3.1,,,,7.075,101.306154927074
"1994-09-01",,,,3.1,,,,7.32,101.610896193274
"1994-10-01",,,,3.1,,,,7.96,102.057850050367
"1994-11-01",,,,3,,,,7.853,102.118798303607
"1994-12-01",,,,2.9,,,,7.741,102.01721788154
"1995-01-01",,,,2.9,,,,7.783,102.403223485394
"1995-02-01",,,,2.9,,,,7.827,102.77907104704
"1995-03-01",,,,2.8,,,,7.733,104.33325150466
"1995-04-01",,,,2.8,,,,7.534,104.465306053347
"1995-05-01",,,,2.8,,,,7.39,103.835507436533
"1995-06-01",,,,2.8,,,,7.105,103.84566547874
"1995-07-01",,,,2.8,,,,7.104,103.581556381367
"1995-08-01",,,,2.8,,,,7.091,102.433697612014
"1995-09-01",,,,2.9,,,,6.897,102.372749358774
"1995-10-01",,,,2.9,,,,6.841,103.408869663853
"1995-11-01",,,,2.9,,,,6.773,103.226024904133
"1995-12-01",,,,2.9,,,,6.686,102.860335384694
"1996-01-01",,,65.2494562545312,3,,,,6.415,102.128956345814
"1996-02-01",,,65.3094557545354,3,,,,6.44,101.8038989952
"1996-03-01",,,65.3794551712069,3.1,,,,6.677,101.37726122252
"1996-04-01",,,65.5094540878826,3.1,,,,6.58,100.869359112187
"1996-05-01",,,65.5694535878868,3.1,,,,6.467,100.351298959647
"1996-06-01",,,65.5694535878868,3,,,,6.514,100.341140917441
"1996-07-01",,,65.6394530045583,2.9,,,,6.531,100.442721339507
"1996-08-01",,,65.7094524212298,2.8,,,,6.351,100.82872694336
"1996-09-01",,,65.7094524212298,2.8,,,,6.25,100.371615044061
"1996-10-01",,,65.8394513379055,2.8,,,,5.927,99.8941870603472
"1996-11-01",,,66.0294497545854,2.8,,,,5.889,100.219244410961
"1996-12-01",,,66.0294497545854,2.8,,,,5.808,99.4675492876673
"1997-01-01",,,66.0994491712569,2.7,,,,5.721,98.5533254890674
"1997-02-01",,,66.2994475046041,2.6,,,,5.448,98.1470038008008
"1997-03-01",,,66.2294480879326,2.6,,,,5.586,97.8930527456342
"1997-04-01",,,66.2294480879326,2.5,,,,5.701,97.6187856060542
"1997-05-01",,,66.2994475046041,2.6,,,,5.593,97.5273632261942
"1997-06-01",,,66.3594470046083,2.7,,,,5.691,97.2429380444076
"1997-07-01",,,66.489445921284,2.7,,,,5.572,96.349030330221
"1997-08-01",,,66.6194448379597,2.7,,,,5.62,96.1458694860877
"1997-09-01",,,66.8194431713069,2.8,35968.7713395828,143500.273951401,179572.172227846,5.597,96.9178806937943
"1997-10-01",,,66.9494420879826,2.8,37334.366889823,147729.372349128,183459.786076035,5.604,97.4968890995742
"1997-11-01",,,67.0194415046541,2.8,39276.5332530506,148747.858295631,185502.539379374,5.61,97.7203660281208
"1997-12-01",,,67.0194415046541,2.9,34903.0718512914,149692.902859052,188611.43880519,5.432,97.4867310573675
"1998-01-01",,,67.0794410046583,2.8,35557.4696171887,154950.483054439,197978.251499624,5.21,97.5172051839875
"1998-02-01",,,67.0194415046541,2.8,35747.1203876893,157619.518887968,201269.143091282,5.084,97.1210415379276
"1998-03-01",,,67.0794410046583,2.8,40858.633451676,154213.02499456,201307.119625482,5.001,96.9788289470343
"1998-04-01",,,66.9494420879826,2.8,37029.5428307363,158117.581546375,202587.249233329,4.989,96.6131394275943
"1998-05-01",,,67.1494404213298,2.8,38434.6289444583,158431.323424432,202261.099511569,5.064,97.2835702132342
"1998-06-01",,,67.1494404213298,2.7,42832.9102124309,155805.365034158,199319.385429161,4.938,97.2226219599942
"1998-07-01",,,67.2794393380055,2.7,39869.4587656921,154097.039239208,200845.905748951,4.84,97.3242023820609
"1998-08-01",,,67.2794393380055,2.6,42108.1366331689,164756.406394975,206457.2218358,4.562,97.7711562391542
"1998-09-01",,,67.2794393380055,2.6,44313.5472918038,157529.360989783,198762.608323483,4.364,98.3196905183141
"1998-10-01",,,67.2794393380055,2.6,41563.2360837944,151736.795995247,192454.291835921,4.301,98.7158541643741
