"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1983-01-01",,,,9.5,,,,,
"1983-02-01",,,,9.5,,,,,
"1983-03-01",,,,9.5,,,,,
"1983-04-01",,,,9.5,,,,,
"1983-05-01",,,,9.5,,,,,
"1983-06-01",,,,9.5,,,,,
"1983-07-01",,,,9.5,,,,,
"1983-08-01",,,,9.5,,,,,
"1983-09-01",,,,9.5,,,,,
"1983-10-01",,,,9.5,,,,,
"1983-11-01",,,,9.5,,,,,
"1983-12-01",,,,9.5,,,,,
"1984-01-01",,,,9.5,,,,,
"1984-02-01",,,,9.4,,,,,
"1984-03-01",,,,9.4,,,,,
"1984-04-01",,,,9.4,,,,,
"1984-05-01",,,,9.4,,,,,
"1984-06-01",,,,9.3,,,,,
"1984-07-01",,,,9.3,,,,,
"1984-08-01",,,,9.2,,,,,
"1984-09-01",,,,9.2,,,,,
"1984-10-01",,,,9.1,,,,,
"1984-11-01",,,,9,,,,,
"1984-12-01",,,,9,,,,,
"1985-01-01",,,,8.9,,,,,
"1985-02-01",,,,8.8,,,,,
"1985-03-01",,,,8.7,,,,,
"1985-04-01",,,,8.7,,,,,
"1985-05-01",,,,8.6,,,,,
"1985-06-01",,,,8.5,,,,,
"1985-07-01",,,,8.4,,,,,
"1985-08-01",,,,8.3,,,,,
"1985-09-01",,,,8.2,,,,,
"1985-10-01",,,,8.2,,,,,
"1985-11-01",,,,8.1,,,,,
"1985-12-01",,,,8,,,,,
"1986-01-01",,,,7.9,,,,,
"1986-02-01",,,,7.8,,,,,
"1986-03-01",,,,7.8,,,,,
"1986-04-01",,,,7.7,,,,6.114,
"1986-05-01",,,,7.6,,,,6.335,
"1986-06-01",,,,7.6,,,,6.291,
"1986-07-01",,,,7.6,,,,6.243,
"1986-08-01",,,,7.5,,,,6.008,
"1986-09-01",,,,7.5,,,,6.025,
"1986-10-01",,,,7.5,,,,6.179,
"1986-11-01",,,,7.4,,,,6.219,
"1986-12-01",,,,7.4,,,,6.265,
"1987-01-01",,,,7.4,,,,6.164,
"1987-02-01",,,,7.4,,,,6.179,
"1987-03-01",,,,7.4,,,,6.197,
"1987-04-01",,,,7.4,,,,6.12,
"1987-05-01",,,,7.4,,,,6.06,
"1987-06-01",,,,7.5,,,,6.272,
"1987-07-01",,,,7.5,,,,6.45,
"1987-08-01",,,,7.5,,,,6.6,
"1987-09-01",,,,7.5,,,,6.867,
"1987-10-01",,,,7.5,,,,7.075,
"1987-11-01",,,,7.5,,,,6.412,
"1987-12-01",,,,7.5,,,,6.419,
"1988-01-01",,,,7.5,,,,6.375,
"1988-02-01",,,,7.5,,,,6.2,
"1988-03-01",,,,7.5,,,,6.13,
"1988-04-01",,,,7.4,,,,6.189,
"1988-05-01",,,,7.4,,,,6.472,
