"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1983-01-01",,,,8.1,,,,,
"1983-02-01",,,,8.1,,,,,
"1983-03-01",,,,8.3,,,,,
"1983-04-01",,,,8.5,,,,,
"1983-05-01",,,,8.8,,,,,
"1983-06-01",,,,9,,,,,
"1983-07-01",,,,9.2,,,,,
"1983-08-01",,,,9.4,,,,,
"1983-09-01",,,,9.4,,,,,
"1983-10-01",,,,9.3,,,,,
"1983-11-01",,,,9.3,,,,,
"1983-12-01",,,,9.3,,,,,
"1984-01-01",,,,9.4,,,,,
"1984-02-01",,,,9.4,,,,,
"1984-03-01",,,,9.4,,,,,
"1984-04-01",,,,9.5,,,,,
"1984-05-01",,,,9.5,,,,,
"1984-06-01",,,,9.6,,,,,
"1984-07-01",,,,9.6,,,,,
"1984-08-01",,,,9.7,,,,,
"1984-09-01",,,,9.7,,,,,
"1984-10-01",,,,9.8,,,,,
"1984-11-01",,,,9.9,,,,,
"1984-12-01",,,,9.8,,,,,
"1985-01-01",,,,9.6,,,,,
"1985-02-01",,,,9.6,,,,,
"1985-03-01",,,,9.7,,,,,
"1985-04-01",,,,9.8,,,,,
"1985-05-01",,,,9.8,,,,,
"1985-06-01",,,,9.8,,,,,
"1985-07-01",,,,9.9,,,,,
"1985-08-01",,,,10,,,,,
"1985-09-01",,,,10,,,,,
"1985-10-01",,,,10,,,,,
"1985-11-01",,,,10,,,,,
"1985-12-01",,,,10.1,,,,,
"1986-01-01",,,,10.1,,,,,
"1986-02-01",,,,10.1,,,,,
"1986-03-01",,,,10.1,,,,,
"1986-04-01",,,,9.9,,,,,
"1986-05-01",,,,9.8,,,,,
"1986-06-01",,,,9.7,,,,,
"1986-07-01",,,,9.4,,,,,
"1986-08-01",,,,9.2,,,,,
"1986-09-01",,,,9,,,,,
"1986-10-01",,,,9,,,,,
"1986-11-01",,,,8.9,,,,,
"1986-12-01",,,,8.9,,,,,
"1987-01-01",,,,8.7,,,,,
"1987-02-01",,,,8.7,,,,,
"1987-03-01",,,,8.5,,,,,
"1987-04-01",,,,8.3,,,,,
"1987-05-01",,,,8.2,,,,,
"1987-06-01",,,,8.1,,,,,
"1987-07-01",,,,7.8,,,,,
"1987-08-01",,,,7.7,,,,,
"1987-09-01",,,,7.7,,,,,
"1987-10-01",,,,7.6,,,,,
"1987-11-01",,,,7.5,,,,,
"1987-12-01",,,,7.3,,,,,
"1988-01-01",,,,7,,,,,
"1988-02-01",,,,7,,,,,
"1988-03-01",,,,7,,,,,
"1988-04-01",,,,7.1,,,,,
"1988-05-01",,,,7,,,,,
"1988-06-01",,,,6.7,,,,,
"1988-07-01",,,,6.4,,,,,
"1988-08-01",,,,6.3,,,,,
"1988-09-01",,,,6.3,,,,,
"1988-10-01",,,,6.4,,,,,
"1988-11-01",,,,6.4,,,,,
"1988-12-01",,,,6.3,,,,,
"1989-01-01",,,,6.2,,,,,
"1989-02-01",,,,6.2,,,,,
"1989-03-01",,,,6.2,,,,,
"1989-04-01",,,,6.1,,,,,
"1989-05-01",,,,6,,,,,
"1989-06-01",,,,6.1,,,,,
"1989-07-01",,,,6.1,,,,,
"1989-08-01",,,,6,,,,,
"1989-09-01",,,,5.8,,,,,
"1989-10-01",,,,5.7,,,,,
"1989-11-01",,,,5.8,,,,,
"1989-12-01",,,,5.9,,,,,
"1990-01-01",,,,6,,,,,
"1990-02-01",,,,5.9,,,,,
"1990-03-01",,,,5.7,,,,,
"1990-04-01",,,,5.4,,,,,
"1990-05-01",,,,5.4,,,,,
"1990-06-01",,,,5.6,,,,,
"1990-07-01",,,,5.7,,,,,
"1990-08-01",,,,5.8,,,,,
"1990-09-01",,,,5.8,,,,,
"1990-10-01",,,,5.5,,,,,
"1990-11-01",,,,5.4,,,,,
"1990-12-01",,,,5.3,,,,,
"1991-01-01",,,,5.2,,,,,
"1991-02-01",,,,5,,,,,
"1991-03-01",,,,4.9,,,,,
"1991-04-01",,,,4.8,,,,,
"1991-05-01",,,,4.9,,,,,
"1991-06-01",,,,5,,,,,
"1991-07-01",,,,5.2,,,,,
"1991-08-01",,,,5.2,,,,,
"1991-09-01",,,,5.2,,,,,
"1991-10-01",,,,5.2,,,,,
"1991-11-01",,,,5,,,,,
"1991-12-01",,,,4.9,,,,,
"1992-01-01",,,,4.8,,,,,
"1992-02-01",,,,4.8,,,,,
"1992-03-01",,,,4.8,,,,,
"1992-04-01",,,,4.9,,,,,
"1992-05-01",,,,4.9,,,,,
"1992-06-01",,,,4.9,,,,,
"1992-07-01",,,,5,,,,,
"1992-08-01",,,,5,,,,,
"1992-09-01",,,,5.1,,,,,
"1992-10-01",,,,5.1,,,,,
"1992-11-01",,,,5.2,,,,,
"1992-12-01",,,,5.4,,,,,
"1993-01-01",,,,5.5,,,,,
"1993-02-01",,,,5.7,,,,,
"1993-03-01",,,,5.9,,,,,
"1993-04-01",,,,6.1,,,,,
"1993-05-01",,,,6.2,,,,,
"1993-06-01",,,,6.3,,,,,
"1993-07-01",,,,6.4,,,,10.665,
"1993-08-01",,,,6.5,,,,10.369,
"1993-09-01",,,,6.6,,,,9.735,
"1993-10-01",,,,6.7,,,,9.269,
"1993-11-01",,,,6.8,,,,9.386,
"1993-12-01",,,,7,,,,9.189,
"1994-01-01",,,,7.2,,,,8.934,95.2835640877453
"1994-02-01",,,,7.3,,,,8.583,95.2433600522653
"1994-03-01",,,,7.4,,,,8.97,94.2885142096138
"1994-04-01",,,,7.5,,,,9.255,94.8513707063347
"1994-05-01",,,,7.6,,,,9.957,94.378973289444
"1994-06-01",,,,7.6,,,,10.843,94.419177324924
"1994-07-01",,,,7.7,,,,11.335,96.1580018594367
"1994-08-01",,,,7.6,,,,11.418,96.8716234892077
"1994-09-01",,,,7.7,,,,11.749,96.8113174359876
"1994-10-01",,,,7.8,,,,11.59,96.9922355956479
"1994-11-01",,,,7.8,,,,11.507,97.1329497198281
"1994-12-01",,,,7.8,,,,11.602,96.9118275246878
"1995-01-01",,,,7.9,,,,11.789,98.37927481971
"1995-02-01",,,,8,,,,11.705,99.0526924140011
"1995-03-01",,,,8,,,,11.978,100.751312913034
"1995-04-01",,,,8,,,,12.171,100.379425584843
"1995-05-01",,,,7.9,,,,11.915,99.1833555293113
"1995-06-01",,,,7.8,,,,11.894,98.5702439882403
"1995-07-01",,,,7.8,,,,11.693,98.7813151745107
"1995-08-01",,,,7.8,,,,11.311,99.002437369651
"1995-09-01",,,,7.8,,,,11.145,98.3491217931
"1995-10-01",,,,8,,,,11.218,98.8215192099907
"1995-11-01",,,,8,,,,10.737,98.7913661833807
"1995-12-01",,,,8,,,,10.028,97.9671834560394
"1996-01-01",,,65.76,8,,,,9.443,98.5400909616303
"1996-02-01",,,66.09,8,,,,9.454,98.4898359172802
"1996-03-01",,,66.23,8.1,,,,9.461,98.5400909616303
"1996-04-01",,,66.76,8.2,,,,9.063,98.982335351911
"1996-05-01",,,67.03,8.2,,,,8.971,98.4697338995402
"1996-06-01",,,67.03,8.1,,,,8.88,98.38932582858
"1996-07-01",,,67.17,8,,,,8.713,99.022539387391
"1996-08-01",,,67.37,7.9,,,,8.706,99.8869261502123
"1996-09-01",,,67.37,7.9,,,,8.316,99.5250898308918
"1996-10-01",,,67.23,7.9,,,,7.589,99.7663140437722
"1996-11-01",,,67.37,7.8,,,,7.174,99.8366711058623
"1996-12-01",,,67.37,7.8,,,,6.947,99.2738146091414
"1997-01-01",,,67.63,7.9,,,,6.72,99.7160589994221
"1997-02-01",,,67.7,7.9,,,,6.663,98.982335351911
"1997-03-01",,,67.77,7.7,,,,6.866,98.9722843430409
"1997-04-01",,,67.83,7.5,,,,6.796,98.7411111390306
"1997-05-01",,,68.3,7.4,,,,6.488,98.6808050858105
"1997-06-01",,,68.1,7.4,,,,6.406,97.685755207679
"1997-07-01",,,68.1,7.6,,,,6.262,96.6002462497173
"1997-08-01",,,68.44,7.6,,,,6.35,96.4595321255371
"1997-09-01",,,68.37,7.5,29346.4301900663,92505.7589116696,94299.1196631928,6.132,96.5298891876272
"1997-10-01",,,68.3,7.4,29332.2084828313,94000.3286195319,95665.4839629435,5.984,96.5097871698872
"1997-11-01",,,68.64,7.2,30978.4189070397,96457.3319648879,97334.1471421393,5.96,96.8515214714677
"1997-12-01",,,68.77,7,31479.8682462777,96592.2581125056,97763.8971883694,5.674,97.0123376133879
"1998-01-01",,,68.7,7.1,31611.4994694059,97322.4855393382,97615.8352079269,5.405,97.1530517375682
"1998-02-01",,,68.57,6.7,31423.7184461378,97136.7807968762,97189.5782537444,5.32,96.7108073472875
"1998-03-01",,,68.77,6.5,33357.4528429864,97605.8154521561,97279.3821176753,5.251,96.5801442319773
"1998-04-01",,,69.31,6.2,33137.0859301143,97601.3789134765,97524.1431539193,5.172,97.072643666608
"1998-05-01",,,69.77,5.9,33650.3250007274,97587.8473556701,98205.7137616374,5.181,98.2586627132699
"1998-06-01",,,69.91,6.2,34177.2806343003,98411.3422971616,99167.3202201015,5.057,98.38932582858
"1998-07-01",,,70.04,6.1,35137.1937507874,100036.399838189,100345.088163788,4.954,98.5702439882403
"1998-08-01",,,69.97,5.9,35231.7141175361,100385.63565301,101060.974064913,4.759,98.8617232454708
"1998-09-01",,,69.84,5.7,35840.6994088125,100653.93393803,101299.141969424,4.457,99.1934065381813
"1998-10-01",,,70.04,5.6,36109.2145530898,101027.969552844,102171.39183101,4.435,99.8366711058623
"1998-11-01",,,70.44,5.9,37105.1777617088,101898.785213598,102329.891990024,4.425,99.8768751413423
"1998-12-01",,,70.71,5.8,36792.3533952929,102414.511760718,102041.735900012,4.122,100.218609442923
"1999-01-01",,,70.44,5.8,38580.0703552605,103853.37252951,104902.873180229,3.897,99.7663140437722
"1999-02-01",,,70.44,5.8,39132.313380001,103793.036647593,104600.028749977,4.021,99.2838656180114
"1999-03-01",,,70.71,5.9,40441.4210676239,105583.23365287,106748.795091499,4.241,99.012488378521
"1999-04-01",,,71.18,6,40695.0447407876,106471.715814835,107279.488106036,4.134,98.8617232454708
"1999-05-01",,,71.25,6.1,42596.0407204774,108126.812447461,108658.193503359,4.323,98.7612131567706
"1999-06-01",,,71.38,5.9,42535.7397399227,109087.243476142,109042.277735269,4.661,98.4596828906702
"1999-07-01",,,71.38,5.8,42262.113382134,108332.906142573,108772.976995602,4.991,98.33907078423
"1999-08-01",,,71.25,5.6,43231.4747207165,109224.898727464,109558.272302949,5.216,98.2586627132699
"1999-09-01",,,71.18,5.5,43544.9100723725,110553.485878754,111012.435909164,5.412,97.665653189939
"1999-10-01",,,71.31,5.3,44488.0586230462,111881.930235034,112224.100862633,5.624,98.0978465713496
"1999-11-01",,,71.78,5.4,44235.9977258435,112532.114502171,112917.762093477,5.36,97.9068774028193
"1999-12-01",,,71.91,5.5,45051.8608495646,114093.652609637,114358.870466336,5.462,97.3440209060985
"2000-01-01",10630.4734857788,72.627402859045,71.78,5.6,45001.7731067393,113403.955026427,113919.825924855,5.81,96.9922355956479
"2000-02-01",10532.1168344193,72.3283170934637,71.58,5.4,45499.4963542047,114703.086975699,115141.501226083,5.775,96.1881548860467
"2000-03-01",10308.609679802,72.333821977568,71.71,5.3,45584.5765977856,114574.512700106,115284.294271147,5.609,95.6353493981959
"2000-04-01",10407.1211891741,73.0129843630343,72.52,5.2,46434.296092459,116679.187515892,117197.265332247,5.52,96.1881548860467
"2000-05-01",10659.1610066665,73.3933865480657,72.99,5.3,46000.5069691508,116866.413167875,117124.944910123,5.678,96.2082569037867
"2000-06-01",10604.0178041594,73.7173452490634,73.39,5.2,46742.7403724154,117647.112505413,117936.235096747,5.54,97.2535618262683
"2000-07-01",10646.2895420107,74.0092475524039,73.72,5.3,47363.6632257921,117976.701450039,118605.572087295,5.609,97.2234087996583
"2000-08-01",10848.5428441227,74.0396863211515,73.79,5.4,46424.5297161582,118112.311926717,118508.84997239,5.567,96.4796341432771
"2000-09-01",10947.4676138665,73.910079363297,73.72,5.4,46650.5917466607,118524.388923271,119177.54468504,5.63,95.4946352740156
"2000-10-01",10841.7405024355,74.0210455042479,73.92,5.2,46622.1539844998,119815.110722813,119968.700207123,5.577,95.4544312385356
"2000-11-01",10934.8253127958,74.4917405424644,74.39,5,46783.2619921121,119814.555134865,120394.712992688,5.533,96.2384099303968
"2000-12-01",11054.1341847687,74.8363238001395,74.66,5,46851.7635384963,119758.91359124,120811.989782726,5.28,97.2334598085283
"2001-01-01",10978.7902345742,75.2381305749656,74.93,5.1,45261.1334630804,119910.497495041,121225.510358806,5.158,98.5802949971103
"2001-02-01",10936.5774954077,75.3193856641321,75.05,5.3,46353.2246335435,122501.656590613,123740.725902216,5.141,98.1682036334397
"2001-03-01",11187.2322700181,75.4526544705809,75.37,5.4,45848.4465419536,122950.88949887,124583.678155245,5.088,98.37927481971
"2001-04-01",11087.2137401421,75.5326942843025,75.84,5.4,46781.2855252173,121819.360633301,123125.585648663,5.265,98.2988667487499
"2001-05-01",11314.8414648695,76.0532583139595,76.54,5.4,47681.099232948,121439.278398312,122780.857676685,5.424,98.2084076689198
"2001-06-01",11315.4447949883,76.21554844525,76.74,5.4,46279.4459443748,120147.364881814,120855.417850258,5.379,97.9872854737794
"2001-07-01",11263.8948828553,76.4997279774161,76.9,5.5,48142.903729348,123363.653017473,124439.90170997,5.391,98.4094278463201
"2001-08-01",11364.569200361,76.4731095881565,76.75,5.4,48795.3312188825,124875.875643516,126054.645618554,5.19,98.9019272809508
"2001-09-01",11412.2359167838,76.5561373765462,76.74,5.4,49911.9946831292,125191.589899479,126294.105250732,5.171,98.8516722366007
"2001-10-01",11509.2289280327,76.9019493845879,77.01,5.4,49870.5499206445,124309.263479592,125408.907813961,4.918,99.2838656180114
"2001-11-01",11689.0765798457,77.4763717872845,77.45,5.4,50363.0438268551,124500.884829378,125625.01086728,4.757,99.5954468929819
"2001-12-01",11715.9944921216,77.7771173415979,77.58,5.4,50661.5272210952,127008.825554503,127891.067416686,5.008,99.5954468929819
"2002-01-01",11789.875189557,78.0938574581894,77.67,5.6,53783.4943089976,129446.625481365,130695.60389727,5.077,99.4346307510616
"2002-02-01",11692.5055658517,78.0319769139635,77.56,5.6,53306.0477990343,128788.257027501,130062.384141829,5.148,98.8717742543408
"2002-03-01",11849.5192445912,78.2706399972217,77.9,5.7,51466.1901898085,128615.148637024,130009.01455412,5.39,98.8617232454708
