"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer"
"1994-01-01",,,,,,,,,49.277954827673
"1994-02-01",,,,,,,,,49.3404770795161
"1994-03-01",,,,,,,,,49.5072030844311
"1994-04-01",,,,,,,,,49.4863623338167
"1994-05-01",,,,,,,,,49.3925789560521
"1994-06-01",,,,,,,,,49.1529103239868
"1994-07-01",,,,,,,,,48.9861843190719
"1994-08-01",,,,,,,,,49.5801457115814
"1994-09-01",,,,,,,,,50.4241961114633
"1994-10-01",,,,,,,,,50.8826926249794
"1994-11-01",,,,,,,,,51.0077371286656
"1994-12-01",,,,,,,,,51.2890872619596
"1995-01-01",,,,,,,,,51.4141317656458
"1995-02-01",,,,,,,,,51.2474057607308
"1995-03-01",,,,,,,,,51.3828706397242
"1995-04-01",,,,,,,,,51.2057242595021
"1995-05-01",,,,,,,,,50.9452148768225
"1995-06-01",,,,,,,,,50.351253484313
"1995-07-01",,,,,,,,,50.6013424916854
"1995-08-01",,,,,,,,,51.0077371286656
"1995-09-01",,,,,,,,,51.4349725162601
"1995-10-01",,,,,,,,,51.4558132668745
"1995-11-01",,,,,,,,,51.5183355187176
"1995-12-01",,,,,,,,,51.7059022742469
"1996-01-01",,,43.01,,,,,,51.7371634001685
"1996-02-01",,,43.12,,,,,,51.5912781458679
"1996-03-01",,,43.22,,,,,,51.6121188964823
"1996-04-01",,,43.35,,,,,,51.7163226495541
"1996-05-01",,,43.56,,,,,,51.5495966446392
"1996-06-01",,,43.63,,,,,,51.2265650101164
"1996-07-01",,,43.75,,,,,,51.0494186298943
"1996-08-01",,,43.99,,,,,,51.1953038841949
"1996-09-01",,,44.41,,,,,,51.5287558940248
"1996-10-01",,,44.7,,,,,,51.5704373952535
"1996-11-01",,,44.88,,,,,,51.5912781458679
"1996-12-01",,,45.01,,,,,,51.5704373952535
"1997-01-01",,,45.48,,,,,,51.9247301556978
"1997-02-01",,,45.7,,,,,,52.9876084370305
"1997-03-01",,,45.95,,,,,,53.3835826987035
"1997-04-01",,,46.12,,,,,,53.9150218393699
"1997-05-01",,,46.14,,,,,,54.1234293455136
"1997-06-01",,,46.29,,,,,,54.6444481108728
"1997-07-01",,,46.32,,,,,,54.6757092367943
"1997-08-01",,,46.8,,,,,,55.4051355082972
"1997-09-01",,,46.87,,,,,,54.9049574935524
"1997-10-01",,,47.26,,,,,,55.5510207625978
"1997-11-01",,,47.56,,,,,,55.6864856415912
"1997-12-01",,,47.81,,,,,,55.8636320218133
"1998-01-01",,,48.72,12.1,,,,,56.5513767920875
"1998-02-01",,,49.07,12.2,,,,,56.1762432810288
"1998-03-01",,,49.19,12.2,,,,,56.5409564167803
"1998-04-01",,,49.38,12.2,,,,,56.5513767920875
"1998-05-01",,,49.68,12.3,,,,,56.8535676759958
"1998-06-01",,,49.74,12.5,,,,,56.5201156661659
"1998-07-01",,,49.55,12.9,,,,,55.6239633897481
"1998-08-01",,,49.43,13,,,,,55.1863076268464
"1998-09-01",,,49.64,13.2,,,,,54.4047794788076
"1998-10-01",,,50.23,13.2,,,,,51.4558132668745
"1998-11-01",,,50.45,13.3,,,,,52.3936470445211
"1998-12-01",,,50.55,13.6,,,,,52.3623859185995
"1999-01-01",,,52.03,14.2,,,,,53.5294679530041
"1999-02-01",,,52.43,14.8,,,,,53.7066143332262
"1999-03-01",,,52.57,15.4,,,,,52.0914561606127
"1999-04-01",,,52.82,15.7,,,,,51.4974947681032
"1999-05-01",,,52.89,16.1,,,,,50.2574701065483
"1999-06-01",,,53.16,16.5,,,,,50.6221832422998
"1999-07-01",,,56.27,16.7,,,,,53.7795569603765
"1999-08-01",,,56.53,17.1,,,,,54.6861296121015
"1999-09-01",,,56.89,17.3,,,,,55.9365746489636
"1999-10-01",,,57.19,17.7,,,,,56.46801378963
"1999-11-01",,,57.41,18.1,,,,,56.8014657994599
"1999-12-01",,,57.66,18.3,,,,,57.5204716956556
"2000-01-01",2478.46198306903,68.8465746484436,59.14,18.3,,,,,58.958483488047
"2000-02-01",2535.90440056242,70.4310041610176,61.17,18.5,,,,,60.6361639125036
"2000-03-01",2550.73361636855,70.6488097252873,61.4,18.7,,,,,61.3760105593136
"2000-04-01",2579.55644326278,70.7688872343651,61.36,18.9,,,,,61.4176920605424
"2000-05-01",2595.47202629294,71.3790448658339,61.53,19.2,,,,,59.6566486336283
"2000-06-01",2608.37153044428,71.9161437438498,61.49,19.4,,,,,60.0734636459156
"2000-07-01",2644.29799455759,72.4217103272785,61.48,19.7,,,,,59.5628652558636
"2000-08-01",2672.08078032245,73.0882652227055,61.53,18.6,,,,,59.1668909941906
"2000-09-01",2708.82122511996,74.082434509567,61.91,18.6,,,,,58.3019998436944
"2000-10-01",2744.59461565422,74.9463083247778,62.15,18.8,,,,,57.5308920709628
"2000-11-01",2758.06105348704,75.2135506226172,62.37,19,,,,,58.5208277251452
"2000-12-01",2755.74433085875,74.7509708390865,62.51,19.1,,,,,58.1144330881651
"2001-01-01",2755.60684864622,74.5828208462598,63.57,19.4,,,,8.250283,59.1147891176547
"2001-02-01",2771.50923014624,75.3829305662758,65.05,19.3,,,,8.173461,59.9484191422294
"2001-03-01",2799.38392120754,75.4405994384935,65.45,19.4,,,,8.091389,60.1672470236803
