"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"1934-01-01",,,,,,,,,,,0.526666666666667,,,,,,,,
"1934-04-01",,,,,,,,,,,0.153333333333333,,,,,,,,
"1934-07-01",,,,,,,,,,,0.183333333333333,,,,,,,,
"1934-10-01",,,,,,,,,,,0.25,,,,,,,,
"1935-01-01",,,,,,,,,,,0.18,,,,,,,,
"1935-04-01",,,,,,,,,,,0.15,,,,,,,,
"1935-07-01",,,,,,,,,,,0.17,,,,,,,,
"1935-10-01",,,,,,,,,,,0.17,,,,,,,,
"1936-01-01",,,,,,,,,,,0.2,,,,,,,,
"1936-04-01",,,,,,,,,,,0.2,,,,,,,,
"1936-07-01",,,,,,,,,,,0.17,,,,,,,,
"1936-10-01",,,,,,,,,,,0.12,,,,,,,,
"1937-01-01",,,,,,,,,,,0.233333333333333,,,,,,,,
"1937-04-01",,,,,,,,,,,0.443333333333333,,,,,,,,
"1937-07-01",,,,,,,,,,,0.293333333333333,,,,,,,,
"1937-10-01",,,,,,,,,,,0.133333333333333,,,,,,,,
"1938-01-01",,,,,,,,,,,0.0866666666666667,,,,,,,,
"1938-04-01",,,,,,,,,,,0.0633333333333333,,,,,,,,
"1938-07-01",,,,,,,,,,,0.07,,,,,,,,
"1938-10-01",,,,,,,,,,,0.04,,,,,,,,
"1939-01-01",,,,,,,,,,,0.03,,,,,,,,
"1939-04-01",,,,,,,,,,,0.03,,,,,,,,
"1939-07-01",,,,,,,,,,,0.0766666666666667,,,,,,,,
"1939-10-01",,,,,,,,,,,0.0466666666666667,,,,,,,,
"1940-01-01",,,,,,,,,,,0.0166666666666667,,,,,,,,
"1940-04-01",,,,,,,,,,,0.06,,,,,,,,
"1940-07-01",,,,,,,,,,,0.0466666666666667,,,,,,,,
"1940-10-01",,,,,,,,,,,0.02,,,,,,,,
"1941-01-01",,,,,,,,,,,0.0566666666666667,,,,,,,,
"1941-04-01",,,,,,,,,,,0.11,,,,,,,,
"1941-07-01",,,,,,,,,,,0.116666666666667,,,,,,,,
"1941-10-01",,,,,,,,,,,0.233333333333333,,,,,,,,
"1942-01-01",,,,,,,,,,,0.256666666666667,,,,,,,,
"1942-04-01",,,,,,,,,,,0.353333333333333,,,,,,,,
"1942-07-01",,,,,,,,,,,0.38,,,,,,,,
"1942-10-01",,,,,,,,,,,0.38,,,,,,,,
"1943-01-01",,,,,,,,,,,0.38,,,,,,,,
